Region,Fecha,Total
Arica y Parinacota,2020-03-22,0
Tarapacá,2020-03-22,0
Antofagasta,2020-03-22,0
Atacama,2020-03-22,0
Coquimbo,2020-03-22,0
Valparaíso,2020-03-22,0
Metropolitana,2020-03-22,1
O’Higgins,2020-03-22,0
Maule,2020-03-22,0
Ñuble,2020-03-22,0
Biobío,2020-03-22,0
Araucanía,2020-03-22,0
Los Ríos,2020-03-22,0
Los Lagos,2020-03-22,0
Aysén,2020-03-22,0
Magallanes,2020-03-22,0
Total,2020-03-22,1
Arica y Parinacota,2020-03-23,0
Tarapacá,2020-03-23,0
Antofagasta,2020-03-23,0
Atacama,2020-03-23,0
Coquimbo,2020-03-23,0
Valparaíso,2020-03-23,0
Metropolitana,2020-03-23,1
O’Higgins,2020-03-23,0
Maule,2020-03-23,0
Ñuble,2020-03-23,0
Biobío,2020-03-23,0
Araucanía,2020-03-23,0
Los Ríos,2020-03-23,0
Los Lagos,2020-03-23,0
Aysén,2020-03-23,0
Magallanes,2020-03-23,0
Total,2020-03-23,1
Arica y Parinacota,2020-03-24,0
Tarapacá,2020-03-24,0
Antofagasta,2020-03-24,0
Atacama,2020-03-24,0
Coquimbo,2020-03-24,0
Valparaíso,2020-03-24,0
Metropolitana,2020-03-24,2
O’Higgins,2020-03-24,0
Maule,2020-03-24,0
Ñuble,2020-03-24,0
Biobío,2020-03-24,0
Araucanía,2020-03-24,0
Los Ríos,2020-03-24,0
Los Lagos,2020-03-24,0
Aysén,2020-03-24,0
Magallanes,2020-03-24,0
Total,2020-03-24,2
Arica y Parinacota,2020-03-25,0
Tarapacá,2020-03-25,0
Antofagasta,2020-03-25,0
Atacama,2020-03-25,0
Coquimbo,2020-03-25,0
Valparaíso,2020-03-25,0
Metropolitana,2020-03-25,2
O’Higgins,2020-03-25,0
Maule,2020-03-25,0
Ñuble,2020-03-25,0
Biobío,2020-03-25,1
Araucanía,2020-03-25,0
Los Ríos,2020-03-25,0
Los Lagos,2020-03-25,0
Aysén,2020-03-25,0
Magallanes,2020-03-25,0
Total,2020-03-25,3
Arica y Parinacota,2020-03-26,0
Tarapacá,2020-03-26,0
Antofagasta,2020-03-26,0
Atacama,2020-03-26,0
Coquimbo,2020-03-26,0
Valparaíso,2020-03-26,0
Metropolitana,2020-03-26,3
O’Higgins,2020-03-26,0
Maule,2020-03-26,0
Ñuble,2020-03-26,0
Biobío,2020-03-26,1
Araucanía,2020-03-26,0
Los Ríos,2020-03-26,0
Los Lagos,2020-03-26,0
Aysén,2020-03-26,0
Magallanes,2020-03-26,0
Total,2020-03-26,4
Arica y Parinacota,2020-03-27,0
Tarapacá,2020-03-27,0
Antofagasta,2020-03-27,0
Atacama,2020-03-27,0
Coquimbo,2020-03-27,0
Valparaíso,2020-03-27,0
Metropolitana,2020-03-27,3
O’Higgins,2020-03-27,0
Maule,2020-03-27,0
Ñuble,2020-03-27,0
Biobío,2020-03-27,2
Araucanía,2020-03-27,0
Los Ríos,2020-03-27,0
Los Lagos,2020-03-27,0
Aysén,2020-03-27,0
Magallanes,2020-03-27,0
Total,2020-03-27,5
Arica y Parinacota,2020-03-28,0
Tarapacá,2020-03-28,0
Antofagasta,2020-03-28,0
Atacama,2020-03-28,0
Coquimbo,2020-03-28,0
Valparaíso,2020-03-28,0
Metropolitana,2020-03-28,3
O’Higgins,2020-03-28,0
Maule,2020-03-28,0
Ñuble,2020-03-28,0
Biobío,2020-03-28,2
Araucanía,2020-03-28,1
Los Ríos,2020-03-28,0
Los Lagos,2020-03-28,0
Aysén,2020-03-28,0
Magallanes,2020-03-28,0
Total,2020-03-28,6
Arica y Parinacota,2020-03-29,0
Tarapacá,2020-03-29,0
Antofagasta,2020-03-29,0
Atacama,2020-03-29,0
Coquimbo,2020-03-29,0
Valparaíso,2020-03-29,0
Metropolitana,2020-03-29,3
O’Higgins,2020-03-29,0
Maule,2020-03-29,0
Ñuble,2020-03-29,0
Biobío,2020-03-29,2
Araucanía,2020-03-29,2
Los Ríos,2020-03-29,0
Los Lagos,2020-03-29,0
Aysén,2020-03-29,0
Magallanes,2020-03-29,0
Total,2020-03-29,7
Arica y Parinacota,2020-03-30,0
Tarapacá,2020-03-30,0
Antofagasta,2020-03-30,0
Atacama,2020-03-30,0
Coquimbo,2020-03-30,0
Valparaíso,2020-03-30,0
Metropolitana,2020-03-30,3
O’Higgins,2020-03-30,0
Maule,2020-03-30,1
Ñuble,2020-03-30,0
Biobío,2020-03-30,2
Araucanía,2020-03-30,2
Los Ríos,2020-03-30,0
Los Lagos,2020-03-30,0
Aysén,2020-03-30,0
Magallanes,2020-03-30,0
Total,2020-03-30,8
Arica y Parinacota,2020-03-31,0
Tarapacá,2020-03-31,0
Antofagasta,2020-03-31,0
Atacama,2020-03-31,0
Coquimbo,2020-03-31,0
Valparaíso,2020-03-31,1
Metropolitana,2020-03-31,4
O’Higgins,2020-03-31,0
Maule,2020-03-31,1
Ñuble,2020-03-31,0
Biobío,2020-03-31,2
Araucanía,2020-03-31,4
Los Ríos,2020-03-31,0
Los Lagos,2020-03-31,0
Aysén,2020-03-31,0
Magallanes,2020-03-31,0
Total,2020-03-31,12
Arica y Parinacota,2020-04-01,0
Tarapacá,2020-04-01,0
Antofagasta,2020-04-01,0
Atacama,2020-04-01,0
Coquimbo,2020-04-01,0
Valparaíso,2020-04-01,1
Metropolitana,2020-04-01,5
O’Higgins,2020-04-01,0
Maule,2020-04-01,1
Ñuble,2020-04-01,0
Biobío,2020-04-01,2
Araucanía,2020-04-01,6
Los Ríos,2020-04-01,1
Los Lagos,2020-04-01,0
Aysén,2020-04-01,0
Magallanes,2020-04-01,0
Total,2020-04-01,16
Arica y Parinacota,2020-04-02,0
Tarapacá,2020-04-02,0
Antofagasta,2020-04-02,0
Atacama,2020-04-02,0
Coquimbo,2020-04-02,0
Valparaíso,2020-04-02,1
Metropolitana,2020-04-02,6
O’Higgins,2020-04-02,0
Maule,2020-04-02,1
Ñuble,2020-04-02,0
Biobío,2020-04-02,2
Araucanía,2020-04-02,7
