Grupo de edad,Sexo,Fecha,Casos confirmados
00 - 04 años,M,2020-03-25,4
05 - 09 años,M,2020-03-25,2
10 - 14 años,M,2020-03-25,7
15 - 19 años,M,2020-03-25,8
20 - 24 años,M,2020-03-25,25
25 - 29 años,M,2020-03-25,61
30 - 34 años,M,2020-03-25,88
35 - 39 años,M,2020-03-25,72
40 - 44 años,M,2020-03-25,62
45 - 49 años,M,2020-03-25,47
50 - 54 años,M,2020-03-25,28
55 - 59 años,M,2020-03-25,30
60 - 64 años,M,2020-03-25,18
65 - 69 años,M,2020-03-25,14
70 - 74 años,M,2020-03-25,16
75 - 79 años,M,2020-03-25,8
80 y más años,M,2020-03-25,6
00 - 04 años,F,2020-03-25,6
05 - 09 años,F,2020-03-25,4
10 - 14 años,F,2020-03-25,2
15 - 19 años,F,2020-03-25,12
20 - 24 años,F,2020-03-25,43
25 - 29 años,F,2020-03-25,65
30 - 34 años,F,2020-03-25,80
35 - 39 años,F,2020-03-25,79
40 - 44 años,F,2020-03-25,63
45 - 49 años,F,2020-03-25,48
50 - 54 años,F,2020-03-25,33
55 - 59 años,F,2020-03-25,28
60 - 64 años,F,2020-03-25,27
65 - 69 años,F,2020-03-25,10
70 - 74 años,F,2020-03-25,7
75 - 79 años,F,2020-03-25,7
80 y más años,F,2020-03-25,2
00 - 04 años,M,2020-03-26,5
05 - 09 años,M,2020-03-26,2
10 - 14 años,M,2020-03-26,8
15 - 19 años,M,2020-03-26,9
20 - 24 años,M,2020-03-26,32
25 - 29 años,M,2020-03-26,75
30 - 34 años,M,2020-03-26,106
35 - 39 años,M,2020-03-26,86
40 - 44 años,M,2020-03-26,71
45 - 49 años,M,2020-03-26,55
50 - 54 años,M,2020-03-26,45
55 - 59 años,M,2020-03-26,34
60 - 64 años,M,2020-03-26,26
65 - 69 años,M,2020-03-26,18
70 - 74 años,M,2020-03-26,21
75 - 79 años,M,2020-03-26,8
80 y más años,M,2020-03-26,9
00 - 04 años,F,2020-03-26,7
05 - 09 años,F,2020-03-26,5
10 - 14 años,F,2020-03-26,3
15 - 19 años,F,2020-03-26,14
20 - 24 años,F,2020-03-26,50
25 - 29 años,F,2020-03-26,77
30 - 34 años,F,2020-03-26,98
35 - 39 años,F,2020-03-26,95
40 - 44 años,F,2020-03-26,82
