Fabricante,Campaña SARS-CoV-2 (AstraZeneca),CanSino,Campaña SARS-CoV-2 (Janssen),Campaña SARS-CoV-2 (Pfizer),Campaña SARS-CoV-2 (Sinovac)
2020-12-24,0.0,0.0,0.0,0.0,0.0
2020-12-25,0.0,0.0,0.0,0.0,0.0
2020-12-26,0.0,0.0,0.0,0.0,0.0
2020-12-27,0.0,0.0,0.0,0.0,0.0
2020-12-28,0.0,0.0,0.0,0.0,0.0
2020-12-29,0.0,0.0,0.0,0.0,0.0
2020-12-30,0.0,0.0,0.0,0.0,0.0
2020-12-31,0.0,0.0,0.0,0.0,0.0
2021-01-01,0.0,0.0,0.0,0.0,0.0
2021-01-02,0.0,0.0,0.0,0.0,0.0
2021-01-03,0.0,0.0,0.0,0.0,0.0
2021-01-04,0.0,0.0,0.0,0.0,0.0
2021-01-05,0.0,0.0,0.0,0.0,0.0
2021-01-06,0.0,0.0,0.0,0.0,0.0
2021-01-07,0.0,0.0,0.0,0.0,0.0
2021-01-08,0.0,0.0,0.0,0.0,0.0
2021-01-09,0.0,0.0,0.0,0.0,0.0
2021-01-10,0.0,0.0,0.0,0.0,0.0
2021-01-11,0.0,0.0,0.0,0.0,0.0
2021-01-12,0.0,0.0,0.0,0.0,0.0
2021-01-13,0.0,0.0,0.0,1032.0,0.0
2021-01-14,0.0,0.0,0.0,4797.0,0.0
2021-01-15,0.0,0.0,0.0,2475.0,0.0
2021-01-16,0.0,0.0,0.0,67.0,0.0
2021-01-17,0.0,0.0,0.0,0.0,0.0
2021-01-18,0.0,0.0,0.0,0.0,0.0
2021-01-19,0.0,0.0,0.0,1.0,0.0
2021-01-20,0.0,0.0,0.0,0.0,0.0
2021-01-21,0.0,0.0,0.0,0.0,0.0
2021-01-22,0.0,0.0,0.0,4.0,0.0
2021-01-23,0.0,0.0,0.0,0.0,0.0
2021-01-24,0.0,0.0,0.0,0.0,0.0
2021-01-25,0.0,0.0,0.0,1403.0,0.0
2021-01-26,0.0,0.0,0.0,595.0,0.0
2021-01-27,0.0,0.0,0.0,34.0,0.0
2021-01-28,0.0,0.0,0.0,0.0,0.0
2021-01-29,0.0,0.0,0.0,5.0,0.0
2021-01-30,0.0,0.0,0.0,0.0,0.0
2021-01-31,0.0,0.0,0.0,1.0,0.0
2021-02-01,0.0,0.0,0.0,0.0,0.0
2021-02-02,0.0,0.0,0.0,6.0,0.0
2021-02-03,0.0,0.0,0.0,0.0,0.0
2021-02-04,0.0,0.0,0.0,2108.0,0.0
2021-02-05,0.0,0.0,0.0,670.0,0.0
2021-02-06,0.0,0.0,0.0,5.0,0.0
2021-02-07,0.0,0.0,0.0,2.0,0.0
2021-02-08,0.0,0.0,0.0,11783.0,0.0
2021-02-09,0.0,0.0,0.0,19390.0,0.0
2021-02-10,0.0,0.0,0.0,8348.0,0.0
2021-02-11,0.0,0.0,0.0,2889.0,0.0
2021-02-12,0.0,0.0,0.0,210.0,0.0
2021-02-13,0.0,0.0,0.0,33.0,0.0
2021-02-14,0.0,0.0,0.0,0.0,0.0
2021-02-15,0.0,0.0,0.0,0.0,0.0
2021-02-16,0.0,0.0,0.0,12.0,0.0
2021-02-17,0.0,0.0,0.0,0.0,0.0
2021-02-18,0.0,0.0,0.0,1.0,0.0
2021-02-19,0.0,0.0,0.0,1.0,0.0
2021-02-20,0.0,0.0,0.0,0.0,0.0
2021-02-21,0.0,0.0,0.0,0.0,0.0
2021-02-22,0.0,0.0,0.0,22.0,0.0
2021-02-23,0.0,0.0,0.0,40.0,0.0
2021-02-24,0.0,0.0,0.0,174.0,0.0
2021-02-25,0.0,0.0,0.0,145.0,0.0
2021-02-26,0.0,0.0,0.0,118.0,0.0
2021-02-27,0.0,0.0,0.0,4.0,0.0
2021-02-28,0.0,0.0,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,18.0,392.0
2021-03-02,0.0,0.0,0.0,79.0,12341.0
2021-03-03,0.0,0.0,0.0,123.0,154013.0
2021-03-04,0.0,0.0,0.0,104.0,165783.0
2021-03-05,0.0,0.0,0.0,192.0,161572.0
2021-03-06,0.0,0.0,0.0,0.0,24146.0
2021-03-07,0.0,0.0,0.0,0.0,6901.0
2021-03-08,0.0,0.0,0.0,38.0,214113.0
2021-03-09,0.0,0.0,0.0,31.0,237579.0
2021-03-10,0.0,0.0,0.0,22.0,265620.0
2021-03-11,0.0,0.0,0.0,45.0,245697.0
2021-03-12,0.0,0.0,0.0,35.0,223207.0
2021-03-13,0.0,0.0,0.0,0.0,26193.0
2021-03-14,0.0,0.0,0.0,0.0,3839.0
2021-03-15,0.0,0.0,0.0,9057.0,263490.0
2021-03-16,0.0,0.0,0.0,22584.0,221128.0
2021-03-17,0.0,0.0,0.0,26186.0,189918.0
2021-03-18,0.0,0.0,0.0,30313.0,155906.0
2021-03-19,0.0,0.0,0.0,14246.0,140580.0
2021-03-20,0.0,0.0,0.0,1443.0,9576.0
2021-03-21,0.0,0.0,0.0,1.0,1171.0
2021-03-22,0.0,0.0,0.0,21134.0,100910.0
2021-03-23,0.0,0.0,0.0,17138.0,73536.0
2021-03-24,0.0,0.0,0.0,4935.0,59913.0
2021-03-25,0.0,0.0,0.0,2335.0,52930.0
2021-03-26,0.0,0.0,0.0,1915.0,49240.0
2021-03-27,0.0,0.0,0.0,33.0,2718.0
2021-03-28,0.0,0.0,0.0,0.0,424.0
2021-03-29,0.0,0.0,0.0,2895.0,112676.0
2021-03-30,0.0,0.0,0.0,20419.0,124344.0
2021-03-31,0.0,0.0,0.0,17013.0,136303.0
2021-04-01,0.0,0.0,0.0,8534.0,160102.0
2021-04-02,0.0,0.0,0.0,52.0,5138.0
2021-04-03,0.0,0.0,0.0,4.0,1344.0
2021-04-04,0.0,0.0,0.0,1.0,467.0
2021-04-05,0.0,0.0,0.0,15162.0,189821.0
2021-04-06,0.0,0.0,0.0,36022.0,110740.0
2021-04-07,0.0,0.0,0.0,38875.0,99608.0
2021-04-08,0.0,0.0,0.0,39756.0,123128.0
2021-04-09,0.0,0.0,0.0,15234.0,132910.0
2021-04-10,0.0,0.0,0.0,877.0,13968.0
2021-04-11,0.0,0.0,0.0,21.0,1335.0
2021-04-12,0.0,0.0,0.0,16947.0,142070.0
2021-04-13,0.0,0.0,0.0,31044.0,129371.0
2021-04-14,0.0,0.0,0.0,27911.0,122364.0
2021-04-15,0.0,0.0,0.0,20372.0,124627.0
