Fecha,pcr,casos pcr,casos ag,positividad pcr,mediamovil_positividad_pcr
2020-03-25,3290.0,220.0,0,0.0669,
2020-03-26,4886.0,164.0,0,0.0336,
2020-03-27,7387.0,304.0,0,0.0412,
2020-03-28,3534.0,299.0,0,0.0846,
2020-03-29,1777.0,230.0,0,0.1294,
2020-03-30,3680.0,310.0,0,0.0842,
2020-03-31,3046.0,289.0,0,0.0949,0.0764
2020-04-01,2898.0,293.0,0,0.1011,0.0813
2020-04-02,2685.0,373.0,0,0.1389,0.0963
2020-04-03,3405.0,333.0,0,0.0978,0.1044
2020-04-04,4483.0,424.0,0,0.0946,0.1058
2020-04-05,3343.0,310.0,0,0.0927,0.1006
2020-04-06,2908.0,344.0,0,0.1183,0.1055
2020-04-07,2258.0,301.0,0,0.1333,0.111
2020-04-08,3269.0,430.0,0,0.1315,0.1153
2020-04-09,7962,426.0,0,0.0535,0.1031
2020-04-10,4444,529.0,0,0.119,0.1061
2020-04-11,3577,426.0,0,0.1191,0.1096
2020-04-12,5897,286.0,0,0.0485,0.1033
2020-04-13,2764,312.0,0,0.1129,0.1025
2020-04-14,2759,392.0,0,0.1421,0.1038
2020-04-15,4079,356.0,0,0.0873,0.0975
2020-04-16,6551,534.0,0,0.0815,0.1015
2020-04-17,5449,445.0,0,0.0817,0.0962
2020-04-18,5018,478.0,0,0.0953,0.0928
2020-04-19,4758,358.0,0,0.0752,0.0966
2020-04-20,5178,419.0,0,0.0809,0.092
2020-04-21,3530,325.0,0,0.0921,0.0849
2020-04-22,6365,464.0,0,0.0729,0.0828
2020-04-23,6425,516.0,0,0.0803,0.0826
2020-04-24,7120,494.0,0,0.0694,0.0809
2020-04-25,6945,552.0,0,0.0795,0.0786
2020-04-26,6763,473.0,0,0.0699,0.0779
2020-04-27,5260,482.0,0,0.0916,0.0794
2020-04-28,4930,552.0,0,0.112,0.0822
2020-04-29,6454,770.0,0,0.1193,0.0889
2020-04-30,7898,888.0,0,0.1124,0.0934
2020-05-01,8916,985.0,0,0.1105,0.0993
2020-05-02,9967,1427.0,0,0.1432,0.1084
2020-05-03,6818,1228.0,0,0.1801,0.1242
2020-05-04,7913,980.0,0,0.1238,0.1288
2020-05-05,7964,1373.0,0,0.1724,0.1374
2020-05-06,10013,1032.0,0,0.1031,0.1351
2020-05-07,12118,1533.0,0,0.1265,0.1371
2020-05-08,11735,1391.0,0,0.1185,0.1382
2020-05-09,11943,1247.0,0,0.1044,0.1327
2020-05-10,12780,1647.0,0,0.1289,0.1254
2020-05-11,13373,1197.0,0,0.0895,0.1205
2020-05-12,9283,1658.0,0,0.1786,0.1214
2020-05-13,10410,2660.0,0,0.2555,0.1431
2020-05-14,11502,2659.0,0,0.2312,0.1581
2020-05-15,16095,2502.0,0,0.1555,0.1634
2020-05-16,8813,1886.0,0,0.214,0.179
2020-05-17,13171,2353.0,0,0.1787,0.1861
2020-05-18,17515,2278.0,0,0.1301,0.1919
2020-05-19,16189,3520.0,0,0.2174,0.1975
2020-05-20,12469,4038.0,0,0.3238,0.2072
2020-05-21,16334,3964.0,0,0.2427,0.2089
2020-05-22,16090,4276.0,0,0.2658,0.2246
2020-05-23,15239,3536.0,0,0.232,0.2272
2020-05-24,14426,3709.0,0,0.2571,0.2384
2020-05-25,16283,4895.0,0,0.3006,0.2628
2020-05-26,13084,3964.0,0,0.303,0.275
2020-05-27,13398,4328.0,0,0.323,0.2749
2020-05-28,15650,4654.0,0,0.2974,0.2827
2020-05-29,16333,3695.0,0,0.2262,0.277
2020-05-30,16814,4220.0,0,0.251,0.2798
2020-05-31,19120,4830.0,0,0.2526,0.2791
2020-06-01,16890,5471.0,0,0.3239,0.2824
2020-06-02,13442,3527.0,0,0.2624,0.2766
2020-06-03,15546,4942.0,0,0.3179,0.2759
2020-06-04,18140,4664.0,0,0.2571,0.2702
2020-06-05,21780,4207.0,0,0.1932,0.2654
2020-06-06,18954,5246.0,0,0.2768,0.2691
2020-06-07,21265,6405.0,0,0.3012,0.2761
2020-06-08,20040,4696.0,0,0.2343,0.2633
2020-06-09,17777,3913.0,0,0.2201,0.2572
2020-06-10,14477,5737.0,0,0.3963,0.2684
2020-06-11,19976,5596.0,0,0.2801,0.2717
2020-06-12,18733,6754.0,0,0.3605,0.2956
2020-06-13,20223,6509.0,0,0.3219,0.3021
2020-06-14,20151,6938.0,0,0.3443,0.3082
2020-06-15,18808,5143.0,0,0.2734,0.3138
2020-06-16,14575,5013.0,0,0.3439,0.3315
2020-06-17,12636,4757.0,0,0.3765,0.3287
2020-06-18,16997,4475.0,0,0.2633,0.3263
2020-06-19,20347,6290.0,0,0.3091,0.3189
2020-06-20,20080,5355.0,0,0.2667,0.311
2020-06-21,20115,5607.0,0,0.2787,0.3017
2020-06-22,18645,4608.0,0,0.2471,0.2979
2020-06-23,12707,3804.0,0,0.2994,0.2915
2020-06-24,12575,3649.0,0,0.2902,0.2792
2020-06-25,17446,4648.0,0,0.2664,0.2797
2020-06-26,18249,4296.0,0,0.2354,0.2691
2020-06-27,17944,4406.0,0,0.2455,0.2661
2020-06-28,18370,4216.0,0,0.2295,0.2591
2020-06-29,16799,4017.0,0,0.2391,0.2579
2020-06-30,13349,3394.0,0,0.2543,0.2515
2020-07-01,10385,2650.0,0,0.2552,0.2465
2020-07-02,10831,2498.0,0,0.2306,0.2414
2020-07-03,15585,3548.0,0,0.2277,0.2403
2020-07-04,17287,3758.0,0,0.2174,0.2363
2020-07-05,18004,3685.0,0,0.2047,0.2327
2020-07-06,16377,3025.0,0,0.1847,0.2249
2020-07-07,12065,2462.0,0,0.2041,0.2178
2020-07-08,10464,2064.0,0,0.1972,0.2095
2020-07-09,16842,3133.0,0,0.186,0.2031
2020-07-10,17727,3058.0,0,0.1725,0.1952
2020-07-11,18268,2755.0,0,0.1508,0.1857
