Region,Arica y Parinacota,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,Metropolitana,O’Higgins,Maule,Ñuble,Biobío,Araucanía,Los Ríos,Los Lagos,Aysén,Magallanes
Codigo region,15,1,2,3,4,5,13,6,7,16,8,9,14,10,11,12
Poblacion,252110,382773,691854,314709,836096,1960170,8125072,991063,1131939,511551,1663696,1014343,405835,891440,107297,178362
2020-04-01,0,1,3,0,1,14,83,5,3,7,14,26,1,10,0,5
2020-04-02,0,1,4,0,1,17,90,5,3,8,18,29,2,12,0,10
2020-04-03,0,1,3,0,1,18,107,5,3,10,21,37,2,18,0,11
2020-04-04,0,1,3,0,2,22,129,5,3,11,24,44,2,22,0,12
2020-04-05,2,1,3,0,1,27,146,5,4,10,26,44,3,22,0,13
2020-04-06,4,2,3,0,1,22,161,6,5,11,27,46,4,23,0,12
2020-04-07,4,2,2,0,2,21,160,6,7,13,32,46,6,24,0,12
2020-04-08,5,2,2,1,1,20,174,6,8,13,31,54,6,25,0,14
2020-04-09,5,2,2,1,1,22,164,6,10,13,33,56,7,24,0,14
2020-04-10,5,3,3,1,2,21,181,7,11,13,32,57,7,25,0,15
2020-04-11,5,3,2,1,2,22,178,7,13,13,33,53,7,26,0,18
2020-04-12,5,2,3,1,1,18,185,7,15,12,31,56,7,26,0,18
2020-04-13,5,2,4,1,0,16,189,7,16,13,35,52,7,25,0,15
2020-04-14,5,1,4,1,1,16,190,5,15,12,35,46,7,26,0,15
2020-04-15,5,0,5,1,1,16,198,6,15,13,35,46,6,26,0,16
2020-04-16,6,0,5,1,0,18,196,4,13,12,30,47,7,27,0,18
2020-04-17,6,0,6,1,0,18,202,4,12,12,27,47,6,26,0,18
2020-04-18,5,0,5,1,0,19,181,4,12,13,25,46,6,26,0,17
2020-04-19,5,1,5,1,0,22,186,4,15,14,26,44,7,25,0,18
2020-04-20,5,1,5,1,0,22,194,4,9,15,26,45,5,24,0,21
2020-04-21,5,1,7,1,0,22,204,3,14,15,25,45,6,25,0,19
