Dato,Fecha,Total
Casos nuevos con sintomas,2020-03-02,1.0
Casos totales,2020-03-02,1.0
Casos recuperados,2020-03-02,0.0
Fallecidos,2020-03-02,0.0
Casos activos,2020-03-02,1.0
Casos nuevos sin sintomas,2020-03-02,
Casos nuevos totales,2020-03-02,1.0
Casos activos por FD,2020-03-02,1.0
Casos activos por FIS,2020-03-02,
Casos recuperados por FIS,2020-03-02,
Casos recuperados por FD,2020-03-02,0.0
Casos confirmados recuperados,2020-03-02,
Casos activos confirmados,2020-03-02,
Casos probables acumulados,2020-03-02,
Casos activos probables,2020-03-02,
Casos nuevos sin notificar,2020-03-02,
Casos confirmados por antigeno,2020-03-02,
Casos con sospecha de reinfeccion,2020-03-02,
Casos nuevos confirmados por antigeno,2020-03-02,
Casos nuevos con sintomas,2020-03-03,0.0
Casos totales,2020-03-03,1.0
Casos recuperados,2020-03-03,0.0
Fallecidos,2020-03-03,0.0
Casos activos,2020-03-03,1.0
Casos nuevos sin sintomas,2020-03-03,
Casos nuevos totales,2020-03-03,0.0
Casos activos por FD,2020-03-03,1.0
Casos activos por FIS,2020-03-03,
Casos recuperados por FIS,2020-03-03,
Casos recuperados por FD,2020-03-03,0.0
Casos confirmados recuperados,2020-03-03,
Casos activos confirmados,2020-03-03,
Casos probables acumulados,2020-03-03,
Casos activos probables,2020-03-03,
Casos nuevos sin notificar,2020-03-03,
Casos confirmados por antigeno,2020-03-03,
Casos con sospecha de reinfeccion,2020-03-03,
Casos nuevos confirmados por antigeno,2020-03-03,
Casos nuevos con sintomas,2020-03-04,2.0
Casos totales,2020-03-04,3.0
Casos recuperados,2020-03-04,0.0
Fallecidos,2020-03-04,0.0
Casos activos,2020-03-04,3.0
Casos nuevos sin sintomas,2020-03-04,
Casos nuevos totales,2020-03-04,2.0
Casos activos por FD,2020-03-04,3.0
Casos activos por FIS,2020-03-04,
Casos recuperados por FIS,2020-03-04,
Casos recuperados por FD,2020-03-04,0.0
Casos confirmados recuperados,2020-03-04,
Casos activos confirmados,2020-03-04,
Casos probables acumulados,2020-03-04,
Casos activos probables,2020-03-04,
Casos nuevos sin notificar,2020-03-04,
Casos confirmados por antigeno,2020-03-04,
Casos con sospecha de reinfeccion,2020-03-04,
Casos nuevos confirmados por antigeno,2020-03-04,
Casos nuevos con sintomas,2020-03-05,1.0
Casos totales,2020-03-05,4.0
