Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-03-30,2020-04-01,2020-04-03,2020-04-06,2020-04-08,2020-04-10,2020-04-13,2020-04-15,2020-04-17,2020-04-20,2020-04-24,2020-04-27,2020-05-01,2020-05-04,2020-05-08,2020-05-11,2020-05-15,2020-05-18,2020-05-22,2020-05-25,2020-05-29,2020-06-01,2020-06-05,2020-06-08,2020-06-12,2020-06-15,2020-06-19,2020-06-23,2020-06-28,Tasa
Arica y Parinacota,15.0,Arica,15101.0,247552.0,6.0,6.0,12.0,41.0,63.0,87.0,115.0,124.0,134.0,166.0,224.0,270.0,297.0,310.0,328.0,353.0,371.0,405.0,477.0,525.0,596.0,653.0,806.0,904.0,1046.0,1176.0,1371,1533,1758,710.2
Arica y Parinacota,15.0,Camarones,15102.0,1233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
Arica y Parinacota,15.0,General Lagos,15202.0,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
Arica y Parinacota,15.0,Putre,15201.0,2515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,9,10,11,437.4
Arica y Parinacota,15.0,Desconocido Arica y Parinacota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,
Tarapaca,1.0,Alto Hospicio,1107.0,129999.0,0.0,0.0,0.0,5.0,6.0,10.0,14.0,15.0,16.0,27.0,39.0,55.0,77.0,128.0,161.0,188.0,276.0,379.0,504.0,591.0,744.0,919.0,1062.0,1238.0,1345.0,1468.0,1672,1815,1949,1499.2
Tarapaca,1.0,Camina,1402.0,1375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,8.0,10.0,10.0,12.0,16,16,25,1818.2
Tarapaca,1.0,Colchane,1403.0,1583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,5.0,10.0,16.0,26,43,54,3411.2
Tarapaca,1.0,Huara,1404.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,9.0,13.0,15.0,18.0,19.0,30.0,31.0,33.0,37.0,40.0,41.0,55,63,65,2166.7
Tarapaca,1.0,Iquique,1101.0,223463.0,5.0,9.0,10.0,13.0,16.0,18.0,26.0,26.0,31.0,36.0,58.0,75.0,90.0,122.0,253.0,308.0,440.0,610.0,812.0,951.0,1218.0,1447.0,1700.0,1904.0,2142.0,2379.0,2698,2952,3210,1436.5
Tarapaca,1.0,Pica,1405.0,5958.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,19.0,24.0,28.0,31.0,31.0,31.0,31.0,35.0,37.0,37.0,39.0,37.0,39.0,45.0,51.0,57.0,59.0,60.0,67.0,77,83,90,1510.6
Tarapaca,1.0,Pozo Almonte,1401.0,17395.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,7.0,10.0,20.0,28.0,47.0,69.0,91.0,121.0,192.0,240.0,298,342,377,2167.3
Tarapaca,1.0,Desconocido Tarapaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,271,260,
Antofagasta,2.0,Antofagasta,2101.0,425725.0,29.0,32.0,44.0,54.0,60.0,82.0,106.0,122.0,145.0,184.0,261.0,303.0,378.0,479.0,601.0,658.0,843.0,998.0,1140.0,1243.0,1395.0,1550.0,1710.0,1876.0,2106.0,2339.0,2718,3187,3777,887.2
