Region,Codigo region,Comuna,Codigo comuna,Poblacion,Casos Confirmados
Arica y Parinacota,15,Arica,15101,247552.0,10103.0
Arica y Parinacota,15,Camarones,15102,1233.0,28.0
Arica y Parinacota,15,General Lagos,15202,810.0,64.0
Arica y Parinacota,15,Putre,15201,2515.0,72.0
Arica y Parinacota,15,Desconocido Arica y Parinacota,,,38.0
Tarapacá,1,Alto Hospicio,1107,129999.0,4271.0
Tarapacá,1,Camina,1402,1375.0,68.0
Tarapacá,1,Colchane,1403,1583.0,101.0
Tarapacá,1,Huara,1404,3000.0,173.0
Tarapacá,1,Iquique,1101,223463.0,7776.0
Tarapacá,1,Pica,1405,5958.0,439.0
Tarapacá,1,Pozo Almonte,1401,17395.0,1080.0
Tarapacá,1,Desconocido Tarapaca,,,859.0
Antofagasta,2,Antofagasta,2101,425725.0,12393.0
Antofagasta,2,Calama,2201,190336.0,7833.0
Antofagasta,2,Maria Elena,2302,6814.0,359.0
Antofagasta,2,Mejillones,2102,14776.0,670.0
Antofagasta,2,Ollague,2202,287.0,24.0
Antofagasta,2,San Pedro de Atacama,2203,10434.0,381.0
Antofagasta,2,Sierra Gorda,2103,1746.0,94.0
Antofagasta,2,Taltal,2104,13657.0,208.0
Antofagasta,2,Tocopilla,2301,28079.0,373.0
Antofagasta,2,Desconocido Antofagasta,,,316.0
Atacama,3,Alto del Carmen,3302,5729.0,42.0
Atacama,3,Caldera,3102,19426.0,324.0
Atacama,3,Chanaral,3201,13164.0,192.0
Atacama,3,Copiapo,3101,171766.0,4779.0
Atacama,3,Diego de Almagro,3202,14358.0,351.0
Atacama,3,Freirina,3303,7681.0,194.0
Atacama,3,Huasco,3304,11264.0,222.0
Atacama,3,Tierra Amarilla,3103,14312.0,417.0
Atacama,3,Vallenar,3301,57009.0,1444.0
Atacama,3,Desconocido Atacama,,,41.0
Coquimbo,4,Andacollo,4103,11791.0,194.0
Coquimbo,4,Canela,4202,9546.0,115.0
Coquimbo,4,Combarbala,4302,13884.0,102.0
Coquimbo,4,Coquimbo,4102,256735.0,5001.0
Coquimbo,4,Illapel,4201,32801.0,531.0
Coquimbo,4,La Higuera,4104,4450.0,104.0
Coquimbo,4,La Serena,4101,249656.0,4015.0
Coquimbo,4,Los Vilos,4203,23374.0,342.0
Coquimbo,4,Monte Patria,4303,32527.0,546.0
Coquimbo,4,Ovalle,4301,121269.0,2806.0
Coquimbo,4,Paiguano,4105,4675.0,43.0
Coquimbo,4,Punitaqui,4304,12165.0,215.0
Coquimbo,4,Rio Hurtado,4305,4372.0,49.0
Coquimbo,4,Salamanca,4204,29110.0,268.0
Coquimbo,4,Vicuna,4106,29741.0,329.0
Coquimbo,4,Desconocido Coquimbo,,,146.0
Valparaíso,5,Algarrobo,5602,15174.0,210.0
Valparaíso,5,Cabildo,5402,20663.0,506.0
Valparaíso,5,Calera,5502,53591.0,1559.0
Valparaíso,5,Calle Larga,5302,16482.0,394.0
Valparaíso,5,Cartagena,5603,25357.0,358.0
Valparaíso,5,Casablanca,5102,29170.0,574.0
Valparaíso,5,Catemu,5702,15213.0,370.0
Valparaíso,5,Concon,5103,45889.0,846.0
Valparaíso,5,El Quisco,5604,17742.0,338.0
Valparaíso,5,El Tabo,5605,14338.0,323.0
Valparaíso,5,Hijuelas,5503,19099.0,383.0
Valparaíso,5,Isla de Pascua,5201,8277.0,9.0
Valparaíso,5,Juan Fernandez,5104,1033.0,1.0
Valparaíso,5,La Cruz,5504,25321.0,462.0
Valparaíso,5,La Ligua,5401,37739.0,995.0
Valparaíso,5,Limache,5802,49931.0,1311.0
Valparaíso,5,Llaillay,5703,26533.0,631.0
Valparaíso,5,Los Andes,5301,68093.0,1454.0
