Region,Codigo region,Comuna,Codigo comuna,Poblacion,Casos Confirmados
Arica y Parinacota,15,Arica,15101,247552.0,58877.0
Arica y Parinacota,15,Camarones,15102,1233.0,177.0
Arica y Parinacota,15,General Lagos,15202,810.0,100.0
Arica y Parinacota,15,Putre,15201,2515.0,414.0
Arica y Parinacota,15,Desconocido Arica y Parinacota,,,224.0
Tarapacá,1,Alto Hospicio,1107,129999.0,25746.0
Tarapacá,1,Camina,1402,1375.0,315.0
Tarapacá,1,Colchane,1403,1583.0,901.0
Tarapacá,1,Huara,1404,3000.0,699.0
Tarapacá,1,Iquique,1101,223463.0,54427.0
Tarapacá,1,Pica,1405,5958.0,1857.0
Tarapacá,1,Pozo Almonte,1401,17395.0,3973.0
Tarapacá,1,Desconocido Tarapaca,,,900.0
Antofagasta,2,Antofagasta,2101,425725.0,77737.0
Antofagasta,2,Calama,2201,190336.0,34654.0
Antofagasta,2,Maria Elena,2302,6814.0,1144.0
Antofagasta,2,Mejillones,2102,14776.0,3273.0
Antofagasta,2,Ollague,2202,287.0,192.0
Antofagasta,2,San Pedro de Atacama,2203,10434.0,2280.0
Antofagasta,2,Sierra Gorda,2103,1746.0,363.0
Antofagasta,2,Taltal,2104,13657.0,2295.0
Antofagasta,2,Tocopilla,2301,28079.0,4571.0
Antofagasta,2,Desconocido Antofagasta,,,746.0
Atacama,3,Alto del Carmen,3302,5729.0,708.0
Atacama,3,Caldera,3102,19426.0,4975.0
Atacama,3,Chanaral,3201,13164.0,2382.0
Atacama,3,Copiapo,3101,171766.0,36329.0
Atacama,3,Diego de Almagro,3202,14358.0,3232.0
Atacama,3,Freirina,3303,7681.0,1621.0
Atacama,3,Huasco,3304,11264.0,2118.0
Atacama,3,Tierra Amarilla,3103,14312.0,3636.0
Atacama,3,Vallenar,3301,57009.0,11669.0
Atacama,3,Desconocido Atacama,,,104.0
Coquimbo,4,Andacollo,4103,11791.0,1653.0
Coquimbo,4,Canela,4202,9546.0,1086.0
Coquimbo,4,Combarbala,4302,13884.0,2172.0
Coquimbo,4,Coquimbo,4102,256735.0,41684.0
Coquimbo,4,Illapel,4201,32801.0,5584.0
Coquimbo,4,La Higuera,4104,4450.0,779.0
Coquimbo,4,La Serena,4101,249656.0,41143.0
Coquimbo,4,Los Vilos,4203,23374.0,4009.0
Coquimbo,4,Monte Patria,4303,32527.0,4251.0
Coquimbo,4,Ovalle,4301,121269.0,20729.0
Coquimbo,4,Paiguano,4105,4675.0,951.0
Coquimbo,4,Punitaqui,4304,12165.0,1921.0
Coquimbo,4,Rio Hurtado,4305,4372.0,574.0
Coquimbo,4,Salamanca,4204,29110.0,4369.0
Coquimbo,4,Vicuna,4106,29741.0,4553.0
Coquimbo,4,Desconocido Coquimbo,,,271.0
Valparaíso,5,Algarrobo,5602,15174.0,3743.0
Valparaíso,5,Cabildo,5402,20663.0,3030.0
Valparaíso,5,Calera,5502,53591.0,8893.0
Valparaíso,5,Calle Larga,5302,16482.0,2988.0
Valparaíso,5,Cartagena,5603,25357.0,5499.0
Valparaíso,5,Casablanca,5102,29170.0,5367.0
Valparaíso,5,Catemu,5702,15213.0,2770.0
Valparaíso,5,Concon,5103,45889.0,8723.0
Valparaíso,5,El Quisco,5604,17742.0,3849.0
Valparaíso,5,El Tabo,5605,14338.0,3785.0
Valparaíso,5,Hijuelas,5503,19099.0,2907.0
Valparaíso,5,Isla de Pascua,5201,8277.0,50.0
Valparaíso,5,Juan Fernandez,5104,1033.0,7.0
Valparaíso,5,La Cruz,5504,25321.0,3768.0
Valparaíso,5,La Ligua,5401,37739.0,6676.0
Valparaíso,5,Limache,5802,49931.0,8100.0
Valparaíso,5,Llaillay,5703,26533.0,4906.0
Valparaíso,5,Los Andes,5301,68093.0,14478.0
Valparaíso,5,Nogales,5506,23490.0,3428.0
Valparaíso,5,Olmue,5803,19266.0,3377.0
Valparaíso,5,Panquehue,5704,7633.0,1362.0
Valparaíso,5,Papudo,5403,6201.0,1279.0
Valparaíso,5,Petorca,5404,10558.0,1912.0
Valparaíso,5,Puchuncavi,5105,20071.0,3974.0
Valparaíso,5,Putaendo,5705,17645.0,3162.0
Valparaíso,5,Quillota,5501,97572.0,17607.0
Valparaíso,5,Quilpue,5801,167085.0,27923.0
Valparaíso,5,Quintero,5107,36135.0,6572.0
Valparaíso,5,Rinconada,5303,11263.0,2247.0
Valparaíso,5,San Antonio,5601,96761.0,18321.0
Valparaíso,5,San Esteban,5304,20643.0,4092.0
Valparaíso,5,San Felipe,5701,83494.0,15312.0
Valparaíso,5,Santa Maria,5706,16367.0,2906.0
