Casos,fecha,Casos confirmados
Pacientes criticos,2020-03-27,10
Pacientes criticos,2020-03-28,11
Pacientes criticos,2020-03-29,14
Pacientes criticos,2020-03-30,13
Pacientes criticos,2020-03-31,20
Pacientes criticos,2020-04-02,31
Pacientes criticos,2020-04-03,29
Pacientes criticos,2020-04-04,38
Pacientes criticos,2020-04-05,36
Pacientes criticos,2020-04-06,53
Pacientes criticos,2020-04-07,54
Pacientes criticos,2020-04-08,57
Pacientes criticos,2020-04-09,54
Pacientes criticos,2020-04-10,70
Pacientes criticos,2020-04-11,83
Pacientes criticos,2020-04-12,78
Pacientes criticos,2020-04-13,100
Pacientes criticos,2020-04-14,90
Pacientes criticos,2020-04-15,91
Pacientes criticos,2020-04-16,90
Pacientes criticos,2020-04-17,97
Pacientes criticos,2020-04-18,91
Pacientes criticos,2020-04-19,96
Pacientes criticos,2020-04-20,92
Pacientes criticos,2020-04-21,67
Pacientes criticos,2020-04-22,66
Pacientes criticos,2020-04-23,75
Pacientes criticos,2020-04-24,83
Pacientes criticos,2020-04-25,83
Pacientes criticos,2020-04-26,75
Pacientes criticos,2020-04-27,81
Pacientes criticos,2020-04-28,75
Pacientes criticos,2020-04-29,67
Pacientes criticos,2020-04-30,69
Pacientes criticos,2020-05-01,65
Pacientes criticos,2020-05-02,62
Pacientes criticos,2020-05-03,69
Pacientes criticos,2020-05-04,71
Pacientes criticos,2020-05-05,77
Pacientes criticos,2020-05-06,85
Pacientes criticos,2020-05-07,79
Pacientes criticos,2020-05-08,79
Pacientes criticos,2020-05-09,84
Pacientes criticos,2020-05-10,87
Pacientes criticos,2020-05-11,80
Pacientes criticos,2020-05-12,113
Pacientes criticos,2020-05-13,118
Pacientes criticos,2020-05-14,114
Pacientes criticos,2020-05-15,124
Pacientes criticos,2020-05-16,127
Pacientes criticos,2020-05-17,131
Pacientes criticos,2020-05-18,116
Pacientes criticos,2020-05-19,134
Pacientes criticos,2020-05-20,143
Pacientes criticos,2020-05-21,148
Pacientes criticos,2020-05-22,159
Pacientes criticos,2020-05-23,212
Pacientes criticos,2020-05-24,211
Pacientes criticos,2020-05-25,220
Pacientes criticos,2020-05-26,229
Pacientes criticos,2020-05-27,239
