"semana_epidemiologica","grupo_edad","tasa_incidencia","tasa_incidencia_categoria"
9,"20 - 29 años",0.0323380960881252,"(0, 7]"
10,"10 - 19 años",0.0791975388572825,"(0, 7]"
10,"20 - 29 años",0.0323380960881252,"(0, 7]"
10,"30 - 39 años",0.0989625100323245,"(0, 7]"
10,"40 - 49 años",0.0381895116325252,"(0, 7]"
10,"50 - 59 años",0.126587566316061,"(0, 7]"
10,"80 años o más",0.182870852946232,"(0, 7]"
11,"00 - 09 años",0.121321482111754,"(0, 7]"
11,"10 - 19 años",0.118796308285924,"(0, 7]"
11,"20 - 29 años",0.93780478655563,"(0, 7]"
11,"30 - 39 años",1.220537623732,"(0, 7]"
11,"40 - 49 años",1.22206437224081,"(0, 7]"
11,"50 - 59 años",0.506350265264245,"(0, 7]"
11,"60 - 69 años",0.166296933151959,"(0, 7]"
11,"70 - 79 años",0.200566801781835,"(0, 7]"
11,"80 años o más",0.365741705892465,"(0, 7]"
12,"00 - 09 años",0.687488398633273,"(0, 7]"
12,"10 - 19 años",0.910771696858748,"(0, 7]"
12,"20 - 29 años",5.52981443106941,"(0, 7]"
12,"30 - 39 años",9.13753842631796,"(7, 35]"
12,"40 - 49 años",7.37057574507737,"(7, 35]"
12,"50 - 59 años",5.14789436351983,"(0, 7]"
12,"60 - 69 años",3.27050635198852,"(0, 7]"
12,"70 - 79 años",3.10878542761845,"(0, 7]"
12,"80 años o más",0.548612558838697,"(0, 7]"
13,"00 - 09 años",0.930131362856781,"(0, 7]"
13,"10 - 19 años",2.81151262943353,"(0, 7]"
13,"20 - 29 años",11.4476860151963,"(7, 35]"
13,"30 - 39 años",17.2524642489686,"(7, 35]"
13,"40 - 49 años",16.0777843972931,"(7, 35]"
13,"50 - 59 años",13.6714571621346,"(7, 35]"
13,"60 - 69 años",10.1441129222695,"(7, 35]"
13,"70 - 79 años",9.0255060801826,"(7, 35]"
13,"80 años o más",6.2176090001719,"(0, 7]"
14,"00 - 09 años",1.61761976149005,"(0, 7]"
14,"10 - 19 años",4.11827202057869,"(0, 7]"
14,"20 - 29 años",16.2337242362388,"(7, 35]"
14,"30 - 39 años",19.1987269462709,"(7, 35]"
14,"40 - 49 años",17.6817438858592,"(7, 35]"
14,"50 - 59 años",16.6251670428427,"(7, 35]"
14,"60 - 69 años",13.1374577190047,"(7, 35]"
14,"70 - 79 años",14.5410931291831,"(7, 35]"
14,"80 años o más",12.61808885329,"(7, 35]"
15,"00 - 09 años",3.03303705279385,"(0, 7]"
15,"10 - 19 años",4.71225356200831,"(0, 7]"
15,"20 - 29 años",16.4924290049438,"(7, 35]"
15,"30 - 39 años",19.6275644897444,"(7, 35]"
15,"40 - 49 años",17.6817438858592,"(7, 35]"
15,"50 - 59 años",16.4141877656493,"(7, 35]"
15,"60 - 69 años",13.3037546521567,"(7, 35]"
15,"70 - 79 años",12.234574908692,"(7, 35]"
15,"80 años o más",18.2870852946232,"(7, 35]"
16,"00 - 09 años",5.37858570695443,"(0, 7]"
16,"10 - 19 años",6.41500064743988,"(0, 7]"
16,"20 - 29 años",22.7660196460401,"(7, 35]"
16,"30 - 39 años",25.6972651050603,"(7, 35]"
16,"40 - 49 años",22.760948932985,"(7, 35]"
16,"50 - 59 años",20.3805981768859,"(7, 35]"
16,"60 - 69 años",14.1906716289672,"(7, 35]"
16,"70 - 79 años",16.1456275434378,"(7, 35]"
16,"80 años o más",21.3958897947092,"(7, 35]"
17,"00 - 09 años",7.44105090285425,"(7, 35]"
17,"10 - 19 años",10.0580874348749,"(7, 35]"
17,"20 - 29 años",30.7858674758952,"(7, 35]"
17,"30 - 39 años",32.0968407538172,"(7, 35]"
17,"40 - 49 años",25.0905091425691,"(7, 35]"
17,"50 - 59 años",24.8955547088254,"(7, 35]"
17,"60 - 69 años",17.7937718472596,"(7, 35]"
17,"70 - 79 años",17.2487449532378,"(7, 35]"
17,"80 años o más",29.4422073243434,"(7, 35]"
18,"00 - 09 años",15.933554650677,"(7, 35]"
18,"10 - 19 años",19.9973785614638,"(7, 35]"
18,"20 - 29 años",64.4821635997216,"(35, 70]"
18,"30 - 39 años",69.6696070627564,"(35, 70]"
18,"40 - 49 años",58.0862471930709,"(35, 70]"
18,"50 - 59 años",54.0106949615195,"(35, 70]"
18,"60 - 69 años",39.0243469796597,"(35, 70]"
18,"70 - 79 años",31.68955468153,"(7, 35]"
18,"80 años o más",37.6713957069239,"(35, 70]"
19,"00 - 09 años",36.6390875977497,"(35, 70]"
19,"10 - 19 años",47.3601282366549,"(35, 70]"
19,"20 - 29 años",149.88707536846,"(70, 150]"
19,"30 - 39 años",163.618016586776,"(150, 250]"
19,"40 - 49 años",130.035287108748,"(70, 150]"
19,"50 - 59 años",120.426971422013,"(70, 150]"
19,"60 - 69 años",88.636265369994,"(70, 150]"
19,"70 - 79 años",69.3961134165151,"(35, 70]"
19,"80 años o más",90.7039430613312,"(70, 150]"
20,"00 - 09 años",41.5323873762571,"(35, 70]"
20,"10 - 19 años",57.3390181326725,"(35, 70]"
20,"20 - 29 años",184.294809606225,"(150, 250]"
