codigo_region,region_residencia,fecha,positividad
NA,0,2020-03-20,NA
NA,0,2020-03-21,NA
NA,0,2020-03-22,NA
NA,0,2020-03-23,NA
NA,0,2020-03-24,NA
NA,0,2020-03-25,NA
NA,0,2020-03-26,0.015782239047573036
NA,0,2020-03-27,0.015284142766344226
NA,0,2020-03-28,0.014093666575868035
NA,0,2020-03-29,0.003889584943214975
NA,0,2020-03-30,0.003889584943214975
NA,0,2020-03-31,0.002872808125726414
NA,0,2020-04-01,NA
NA,0,2020-04-02,NA
NA,0,2020-04-03,NA
NA,0,2020-04-04,NA
NA,0,2020-04-05,NA
NA,0,2020-04-06,NA
NA,0,2020-04-07,NA
NA,0,2020-04-08,0
NA,0,2020-04-09,0
NA,0,2020-04-10,0.047619047619047616
NA,0,2020-04-11,0.047619047619047616
NA,0,2020-04-12,0.047619047619047616
NA,0,2020-04-13,0.047619047619047616
NA,0,2020-04-14,0.047619047619047616
NA,0,2020-04-15,0.11904761904761904
NA,0,2020-04-16,0.11904761904761904
NA,0,2020-04-17,0.07142857142857142
NA,0,2020-04-18,0.07142857142857142
NA,0,2020-04-19,0.07142857142857142
NA,0,2020-04-20,0.07575757575757576
NA,0,2020-04-21,NA
NA,0,2020-04-22,NA
NA,0,2020-04-23,NA
NA,0,2020-04-24,NA
NA,0,2020-04-25,NA
NA,0,2020-04-26,NA
NA,0,2020-04-27,NA
NA,0,2020-04-28,NA
NA,0,2020-04-29,NA
NA,0,2020-04-30,NA
NA,0,2020-05-01,NA
NA,0,2020-05-02,NA
NA,0,2020-05-03,NA
NA,0,2020-05-04,0.3246753246753247
NA,0,2020-05-05,0.3253896103896104
NA,0,2020-05-06,0.25695804195804195
NA,0,2020-05-07,0.19067747567747567
NA,0,2020-05-08,0.2716298566298566
NA,0,2020-05-09,0.36686795186795185
NA,0,2020-05-10,0.31924890424890423
NA,0,2020-05-11,0.3619205183490898
NA,0,2020-05-12,0.5040633754919469
NA,0,2020-05-13,0.6439235153520868
NA,0,2020-05-14,0.710204081632653
NA,0,2020-05-15,0.7244897959183674
NA,0,2020-05-16,0.5816326530612245
NA,0,2020-05-17,NA
NA,0,2020-05-18,NA
NA,0,2020-05-19,NA
NA,0,2020-05-20,NA
NA,0,2020-05-21,NA
NA,0,2020-05-22,NA
NA,0,2020-05-23,NA
NA,0,2020-05-24,0.4166666666666667
NA,0,2020-05-25,0.30952380952380953
NA,0,2020-05-26,0.42857142857142855
NA,0,2020-05-27,NA
NA,0,2020-05-28,NA
NA,0,2020-05-29,NA
NA,0,2020-05-30,NA
NA,0,2020-05-31,NA
NA,0,2020-06-01,NA
NA,0,2020-06-02,NA
NA,0,2020-06-03,NA
NA,0,2020-06-04,NA
NA,0,2020-06-05,NA
NA,0,2020-06-06,NA
NA,0,2020-06-07,NA
NA,0,2020-06-08,NA
NA,0,2020-06-09,NA
NA,0,2020-06-10,NA
NA,0,2020-06-11,NA
NA,0,2020-06-12,NA
NA,0,2020-06-13,NA
NA,0,2020-06-14,NA
NA,0,2020-06-15,NA
NA,0,2020-06-16,NA
NA,0,2020-06-17,NA
NA,0,2020-06-18,NA
NA,0,2020-06-19,NA
NA,0,2020-06-20,NA
NA,0,2020-06-21,NA
NA,0,2020-06-22,NA
NA,0,2020-06-23,NA
NA,0,2020-06-24,NA
NA,0,2020-06-25,NA
NA,0,2020-06-26,NA
NA,0,2020-06-27,NA
NA,0,2020-06-28,NA
NA,0,2020-06-29,NA
NA,0,2020-06-30,NA
NA,0,2020-07-01,NA
NA,0,2020-07-02,NA
NA,0,2020-07-03,NA
NA,0,2020-07-04,NA
NA,0,2020-07-05,NA
NA,0,2020-07-06,NA
NA,0,2020-07-07,NA
NA,0,2020-07-08,NA
NA,0,2020-07-09,NA
NA,0,2020-07-10,NA
NA,0,2020-07-11,NA
NA,0,2020-07-12,NA
NA,0,2020-07-13,NA
NA,0,2020-07-14,NA
NA,0,2020-07-15,NA
NA,0,2020-07-16,NA
