semana_epidemiologica,sin_vac_casos,una_dosis_casos,dos_dosis_casos,dos_dosis_comp_casos,dosis_unica_casos,dosis_unica_comp_casos,dosis_ref_comp_casos,sin_vac_uci,una_dosis_uci,dos_dosis_uci,dos_dosis_comp_uci,dosis_unica_uci,dosis_unica_comp_uci,dosis_ref_comp_uci,sin_vac_fall,una_dosis_fall,dos_dosis_fall,dos_dosis_comp_fall,dosis_unica_fall,dosis_unica_comp_fall,dosis_ref_comp_fall,personas_con_una_dosis,personas_con_pauta_completa,personas_con_refuerzo
2021-01,27434,23,0,0,0,0,0,75,0,0,0,0,0,0,25,0,0,0,0,0,0,10704.0,0.0,0.0
2021-02,27240,17,0,0,0,0,0,339,0,0,0,0,0,0,97,0,0,0,0,0,0,13805.0,8371.0,0.0
2021-03,27877,84,1,0,0,0,0,585,0,0,0,0,0,0,230,0,0,0,0,0,0,56998.0,8376.0,0.0
2021-04,24656,158,0,0,0,0,0,630,2,0,0,0,0,0,339,0,0,0,0,0,0,57036.0,10414.0,0.0
2021-05,23263,311,0,0,0,0,0,599,2,0,0,0,0,0,411,0,0,0,0,0,0,620037.0,13206.0,0.0
2021-06,21936,1418,6,3,0,0,0,574,8,0,0,0,0,0,415,4,0,0,0,0,0,1871284.0,55858.0,0.0
2021-07,20897,2905,7,3,0,0,0,539,42,0,0,0,0,0,360,19,0,0,0,0,0,2853584.0,55872.0,0.0
2021-08,22590,4304,7,10,0,0,0,503,147,0,0,0,0,0,357,67,0,0,0,0,0,3316737.0,56375.0,0.0
2021-09,26909,5666,200,21,0,0,0,530,219,0,0,0,0,0,310,125,0,0,0,0,0,4062505.0,582081.0,0.0
2021-10,29665,6325,1427,35,0,0,0,599,262,3,0,0,0,0,313,191,2,0,0,0,0,4823813.0,1798588.0,0.0
2021-11,32940,7132,2840,211,0,0,0,707,288,40,0,0,0,0,285,228,19,0,0,0,0,5614633.0,2884230.0,0.0
2021-12,34361,8460,2751,1181,0,0,0,712,373,66,4,0,0,0,321,200,60,6,0,0,0,6404192.0,3271492.0,0.0
2021-13,32055,9731,1872,2403,0,0,0,799,401,87,16,0,0,0,319,206,70,14,0,0,0,6955998.0,3860832.0,0.0
2021-14,32623,8985,1959,3395,0,0,0,875,472,58,48,0,0,0,313,214,71,60,0,0,0,7384135.0,4678383.0,0.0
2021-15,30378,7175,2418,3876,0,0,0,824,367,63,61,0,0,0,333,187,79,91,0,0,0,7746375.0,5445287.0,0.0
2021-16,28119,5578,2376,4462,0,0,0,753,270,64,83,0,0,0,330,156,63,72,0,0,0,7963207.0,6194391.0,0.0
2021-17,25350,3559,1887,4933,0,0,0,733,211,60,106,0,0,0,302,125,35,118,0,0,0,8172690.0,6770086.0,0.0
2021-18,25555,3145,1500,6133,0,0,0,717,120,32,119,0,0,0,318,110,30,127,0,0,0,8595539.0,7177957.0,0.0
2021-19,26736,4251,1107,8116,0,0,0,666,94,18,171,0,0,0,285,81,26,130,0,0,0,9112874.0,7530225.0,0.0
2021-20,27093,6049,792,10010,0,0,0,765,128,10,175,0,0,0,304,77,12,192,0,0,0,9666966.0,7738278.0,0.0
2021-21,27102,8299,829,11978,0,0,0,792,177,19,256,0,0,0,347,74,13,202,0,0,0,10576769.0,7989093.0,0.0
2021-22,23794,10544,930,13585,119,0,0,777,220,7,255,0,0,0,329,64,7,268,0,0,0,11096297.0,8463462.0,0.0
2021-23,19129,8710,1284,13169,642,0,0,666,244,7,281,0,0,0,345,71,16,280,0,0,0,11488315.0,9048747.0,0.0
2021-24,13812,6046,1380,11591,549,65,0,610,184,8,290,6,0,0,326,90,12,297,0,0,0,11935048.0,9594184.0,0.0
2021-25,9743,4215,1044,9497,157,224,0,467,139,15,293,20,1,0,326,71,12,301,1,0,0,12216554.0,10417132.0,0.0
2021-26,6815,2453,810,7701,220,176,0,353,99,10,259,5,0,0,306,82,10,289,0,0,0,12475903.0,10985754.0,0.0
2021-27,4939,1648,529,6443,247,160,0,261,61,5,196,1,1,0,256,57,12,237,0,0,0,12772385.0,11482505.0,0.0
