Region,Codigo region,Comuna,Codigo comuna,Poblacion,Publicacion,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20,SE21,SE22,SE23,SE24,SE25,SE26,SE27,SE28,SE29
Antofagasta,02,Antofagasta,02101,425725.0,2020-06-28,0.0,0.0,0.0,1.0,2.0,28.0,31.0,41.0,60.0,109.0,160.0,215.0,307.0,310.0,302.0,343.0,455.0,559.0,567.0,142.0,0.0,0.0,0.0
Antofagasta,02,Calama,02201,190336.0,2020-06-28,0.0,0.0,1.0,0.0,2.0,3.0,2.0,9.0,16.0,16.0,40.0,53.0,88.0,231.0,277.0,432.0,763.0,869.0,641.0,177.0,0.0,0.0,0.0
Antofagasta,02,Maria Elena,02302,6814.0,2020-06-28,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,16.0,45.0,42.0,30.0,13.0,12.0,10.0,6.0,27.0,2.0,0.0,0.0,0.0
Antofagasta,02,Mejillones,02102,14776.0,2020-06-28,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,15.0,18.0,30.0,76.0,45.0,51.0,19.0,19.0,10.0,17.0,28.0,3.0,0.0,0.0,0.0
Antofagasta,02,Ollague,02202,287.0,2020-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0
Antofagasta,02,San Pedro de Atacama,02203,10434.0,2020-06-28,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,4.0,15.0,18.0,22.0,8.0,0.0,0.0,0.0
Antofagasta,02,Sierra Gorda,02103,1746.0,2020-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,3.0,12.0,6.0,8.0,1.0,1.0,0.0,0.0,0.0
Antofagasta,02,Taltal,02104,13657.0,2020-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,3.0,12.0,6.0,9.0,6.0,9.0,5.0,0.0,0.0,0.0,0.0
Antofagasta,02,Tocopilla,02301,28079.0,2020-06-28,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,5.0,0.0,1.0,2.0,7.0,8.0,8.0,2.0,5.0,13.0,20.0,3.0,0.0,0.0,0.0
Antofagasta,02,Desconocido Antofagasta,0,0.0,2020-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
