Region,Codigo region,Comuna,Codigo comuna,Poblacion,Semana Epidemiologica,Casos confirmados
Arica y Parinacota,15.0,Arica,15101.0,247552.0,SE7,0.0
Arica y Parinacota,15.0,Camarones,15102.0,1233.0,SE7,0.0
Arica y Parinacota,15.0,General Lagos,15202.0,810.0,SE7,0.0
Arica y Parinacota,15.0,Putre,15201.0,2515.0,SE7,0.0
Arica y Parinacota,15.0,Desconocido Arica y Parinacota,,,SE7,0.0
Tarapacá,1.0,Alto Hospicio,1107.0,129999.0,SE7,0.0
Tarapacá,1.0,Camina,1402.0,1375.0,SE7,0.0
Tarapacá,1.0,Colchane,1403.0,1583.0,SE7,0.0
Tarapacá,1.0,Huara,1404.0,3000.0,SE7,0.0
Tarapacá,1.0,Iquique,1101.0,223463.0,SE7,0.0
Tarapacá,1.0,Pica,1405.0,5958.0,SE7,0.0
Tarapacá,1.0,Pozo Almonte,1401.0,17395.0,SE7,0.0
Tarapacá,1.0,Desconocido Tarapaca,,,SE7,0.0
Antofagasta,2.0,Antofagasta,2101.0,425725.0,SE7,0.0
Antofagasta,2.0,Calama,2201.0,190336.0,SE7,0.0
Antofagasta,2.0,Maria Elena,2302.0,6814.0,SE7,0.0
Antofagasta,2.0,Mejillones,2102.0,14776.0,SE7,0.0
Antofagasta,2.0,Ollague,2202.0,287.0,SE7,0.0
Antofagasta,2.0,San Pedro de Atacama,2203.0,10434.0,SE7,0.0
Antofagasta,2.0,Sierra Gorda,2103.0,1746.0,SE7,0.0
Antofagasta,2.0,Taltal,2104.0,13657.0,SE7,0.0
Antofagasta,2.0,Tocopilla,2301.0,28079.0,SE7,0.0
Antofagasta,2.0,Desconocido Antofagasta,,,SE7,0.0
Atacama,3.0,Alto del Carmen,3302.0,5729.0,SE7,0.0
Atacama,3.0,Caldera,3102.0,19426.0,SE7,0.0
Atacama,3.0,Chanaral,3201.0,13164.0,SE7,0.0
Atacama,3.0,Copiapo,3101.0,171766.0,SE7,0.0
Atacama,3.0,Diego de Almagro,3202.0,14358.0,SE7,0.0
Atacama,3.0,Freirina,3303.0,7681.0,SE7,0.0
Atacama,3.0,Huasco,3304.0,11264.0,SE7,0.0
Atacama,3.0,Tierra Amarilla,3103.0,14312.0,SE7,0.0
Atacama,3.0,Vallenar,3301.0,57009.0,SE7,0.0
Atacama,3.0,Desconocido Atacama,,,SE7,0.0
Coquimbo,4.0,Andacollo,4103.0,11791.0,SE7,0.0
Coquimbo,4.0,Canela,4202.0,9546.0,SE7,0.0
Coquimbo,4.0,Combarbala,4302.0,13884.0,SE7,0.0
Coquimbo,4.0,Coquimbo,4102.0,256735.0,SE7,0.0
Coquimbo,4.0,Illapel,4201.0,32801.0,SE7,0.0
Coquimbo,4.0,La Higuera,4104.0,4450.0,SE7,0.0
Coquimbo,4.0,La Serena,4101.0,249656.0,SE7,0.0
Coquimbo,4.0,Los Vilos,4203.0,23374.0,SE7,0.0
Coquimbo,4.0,Monte Patria,4303.0,32527.0,SE7,0.0
Coquimbo,4.0,Ovalle,4301.0,121269.0,SE7,0.0
Coquimbo,4.0,Paiguano,4105.0,4675.0,SE7,0.0
Coquimbo,4.0,Punitaqui,4304.0,12165.0,SE7,0.0
Coquimbo,4.0,Rio Hurtado,4305.0,4372.0,SE7,0.0
Coquimbo,4.0,Salamanca,4204.0,29110.0,SE7,0.0
Coquimbo,4.0,Vicuna,4106.0,29741.0,SE7,0.0
Coquimbo,4.0,Desconocido Coquimbo,,,SE7,0.0
Valparaíso,5.0,Algarrobo,5602.0,15174.0,SE7,0.0
Valparaíso,5.0,Cabildo,5402.0,20663.0,SE7,0.0
Valparaíso,5.0,Calera,5502.0,53591.0,SE7,0.0
Valparaíso,5.0,Calle Larga,5302.0,16482.0,SE7,0.0
Valparaíso,5.0,Cartagena,5603.0,25357.0,SE7,0.0
Valparaíso,5.0,Casablanca,5102.0,29170.0,SE7,0.0
Valparaíso,5.0,Catemu,5702.0,15213.0,SE7,0.0
Valparaíso,5.0,Concon,5103.0,45889.0,SE7,0.0
Valparaíso,5.0,El Quisco,5604.0,17742.0,SE7,0.0
Valparaíso,5.0,El Tabo,5605.0,14338.0,SE7,0.0
Valparaíso,5.0,Hijuelas,5503.0,19099.0,SE7,0.0
Valparaíso,5.0,Isla de Pascua,5201.0,8277.0,SE7,0.0
Valparaíso,5.0,Juan Fernandez,5104.0,1033.0,SE7,0.0
Valparaíso,5.0,La Cruz,5504.0,25321.0,SE7,0.0
Valparaíso,5.0,La Ligua,5401.0,37739.0,SE7,0.0
Valparaíso,5.0,Limache,5802.0,49931.0,SE7,0.0
Valparaíso,5.0,Llaillay,5703.0,26533.0,SE7,0.0
Valparaíso,5.0,Los Andes,5301.0,68093.0,SE7,0.0
Valparaíso,5.0,Nogales,5506.0,23490.0,SE7,0.0
Valparaíso,5.0,Olmue,5803.0,19266.0,SE7,0.0
Valparaíso,5.0,Panquehue,5704.0,7633.0,SE7,0.0
Valparaíso,5.0,Papudo,5403.0,6201.0,SE7,0.0
Valparaíso,5.0,Petorca,5404.0,10558.0,SE7,0.0
Valparaíso,5.0,Puchuncavi,5105.0,20071.0,SE7,0.0
Valparaíso,5.0,Putaendo,5705.0,17645.0,SE7,0.0
Valparaíso,5.0,Quillota,5501.0,97572.0,SE7,0.0
Valparaíso,5.0,Quilpue,5801.0,167085.0,SE7,0.0
Valparaíso,5.0,Quintero,5107.0,36135.0,SE7,0.0
Valparaíso,5.0,Rinconada,5303.0,11263.0,SE7,0.0
Valparaíso,5.0,San Antonio,5601.0,96761.0,SE7,0.0
Valparaíso,5.0,San Esteban,5304.0,20643.0,SE7,0.0
Valparaíso,5.0,San Felipe,5701.0,83494.0,SE7,0.0
Valparaíso,5.0,Santa Maria,5706.0,16367.0,SE7,0.0
Valparaíso,5.0,Santo Domingo,5606.0,11934.0,SE7,0.0
Valparaíso,5.0,Valparaiso,5101.0,315732.0,SE7,0.0
Valparaíso,5.0,Villa Alemana,5804.0,139310.0,SE7,0.0
Valparaíso,5.0,Vina del Mar,5109.0,361371.0,SE7,0.0
Valparaíso,5.0,Zapallar,5405.0,7994.0,SE7,0.0
Valparaíso,5.0,Desconocido Valparaiso,,,SE7,0.0
Metropolitana,13.0,Alhue,13502.0,7405.0,SE7,0.0
Metropolitana,13.0,Buin,13402.0,109641.0,SE7,0.0
Metropolitana,13.0,Calera de Tango,13403.0,28525.0,SE7,0.0
Metropolitana,13.0,Cerrillos,13102.0,88956.0,SE7,0.0
Metropolitana,13.0,Cerro Navia,13103.0,142465.0,SE7,0.0
Metropolitana,13.0,Colina,13301.0,180353.0,SE7,0.0
Metropolitana,13.0,Conchali,13104.0,139195.0,SE7,0.0
Metropolitana,13.0,Curacavi,13503.0,36430.0,SE7,0.0
Metropolitana,13.0,El Bosque,13105.0,172000.0,SE7,0.0
Metropolitana,13.0,El Monte,13602.0,40014.0,SE7,0.0
Metropolitana,13.0,Estacion Central,13106.0,206792.0,SE7,0.0
Metropolitana,13.0,Huechuraba,13107.0,112528.0,SE7,0.0
Metropolitana,13.0,Independencia,13108.0,142065.0,SE7,0.0
Metropolitana,13.0,Isla de Maipo,13603.0,40171.0,SE7,0.0
Metropolitana,13.0,La Cisterna,13109.0,100434.0,SE7,0.0
Metropolitana,13.0,La Florida,13110.0,402433.0,SE7,0.0
Metropolitana,13.0,La Granja,13111.0,122557.0,SE7,0.0
Metropolitana,13.0,La Pintana,13112.0,189335.0,SE7,0.0
Metropolitana,13.0,La Reina,13113.0,100252.0,SE7,0.0
Metropolitana,13.0,Lampa,13302.0,126898.0,SE7,0.0
Metropolitana,13.0,Las Condes,13114.0,330759.0,SE7,0.0
Metropolitana,13.0,Lo Barnechea,13115.0,124076.0,SE7,0.0
Metropolitana,13.0,Lo Espejo,13116.0,103865.0,SE7,0.0
Metropolitana,13.0,Lo Prado,13117.0,104403.0,SE7,0.0
Metropolitana,13.0,Macul,13118.0,134635.0,SE7,0.0
Metropolitana,13.0,Maipu,13119.0,578605.0,SE7,0.0
Metropolitana,13.0,Maria Pinto,13504.0,14926.0,SE7,0.0
Metropolitana,13.0,Melipilla,13501.0,141612.0,SE7,0.0
Metropolitana,13.0,Nunoa,13120.0,250192.0,SE7,0.0
Metropolitana,13.0,Padre Hurtado,13604.0,74188.0,SE7,0.0
Metropolitana,13.0,Paine,13404.0,82766.0,SE7,0.0
Metropolitana,13.0,Pedro Aguirre Cerda,13121.0,107803.0,SE7,0.0
Metropolitana,13.0,Penaflor,13605.0,101058.0,SE7,0.0
Metropolitana,13.0,Penalolen,13122.0,266798.0,SE7,0.0
Metropolitana,13.0,Pirque,13202.0,30433.0,SE7,0.0
Metropolitana,13.0,Providencia,13123.0,157749.0,SE7,0.0
Metropolitana,13.0,Pudahuel,13124.0,253139.0,SE7,0.0
Metropolitana,13.0,Puente Alto,13201.0,645909.0,SE7,0.0
Metropolitana,13.0,Quilicura,13125.0,254694.0,SE7,0.0
Metropolitana,13.0,Quinta Normal,13126.0,136368.0,SE7,0.0
Metropolitana,13.0,Recoleta,13127.0,190075.0,SE7,0.0
Metropolitana,13.0,Renca,13128.0,160847.0,SE7,0.0
Metropolitana,13.0,San Bernardo,13401.0,334836.0,SE7,0.0
Metropolitana,13.0,San Joaquin,13129.0,103485.0,SE7,0.0
Metropolitana,13.0,San Jose de Maipo,13203.0,18644.0,SE7,0.0
Metropolitana,13.0,San Miguel,13130.0,133059.0,SE7,0.0
Metropolitana,13.0,San Pedro,13505.0,11953.0,SE7,0.0
Metropolitana,13.0,San Ramon,13131.0,86510.0,SE7,0.0
Metropolitana,13.0,Santiago,13101.0,503147.0,SE7,0.0
Metropolitana,13.0,Talagante,13601.0,81838.0,SE7,0.0
Metropolitana,13.0,Tiltil,13303.0,21477.0,SE7,0.0
Metropolitana,13.0,Vitacura,13132.0,96774.0,SE7,0.0
Metropolitana,13.0,Desconocido Metropolitana,,,SE7,0.0
O’Higgins,6.0,Chepica,6302.0,15925.0,SE7,0.0
O’Higgins,6.0,Chimbarongo,6303.0,37696.0,SE7,0.0
O’Higgins,6.0,Codegua,6102.0,14096.0,SE7,0.0
O’Higgins,6.0,Coinco,6103.0,7831.0,SE7,0.0
