Fecha,Casos totales acumulados,Casos activos,Fallecidos,Casos confirmados recuperados,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas,Casos activos confirmados,Casos probables acumulados,Casos activos probables
10-05-2020,28866,15438,312,,1647,1406,241,,,
11-05-2020,30063,16135,323,,1197,975,222,,,
12-05-2020,31721,17261,335,,1658,1479,179,,,
13-05-2020,34381,19170,346,,2660,2152,508,,,
14-05-2020,37040,21017,368,,2659,2301,358,,,
15-05-2020,39542,22534,394,,2502,2112,390,,,
16-05-2020,41428,22993,421,,1886,1573,313,,,
17-05-2020,43781,24118,450,,2353,2024,329,,,
18-05-2020,46059,25416,478,,2278,2018,260,,,
19-05-2020,49579,27563,509,,3520,3099,421,,,
20-05-2020,53617,30569,544,,4038,3647,391,,,
21-05-2020,57581,33000,589,,3964,3538,426,,,
22-05-2020,61857,35885,630,,4276,3863,413,,,
23-05-2020,65393,38174,673,,3536,3237,299,,,
24-05-2020,69102,40236,718,,3709,3343,366,,,
25-05-2020,73997,43934,761,,4895,4428,467,,,
26-05-2020,77961,46240,806,,3964,3618,346,,,
27-05-2020,82289,47908,841,,4328,3956,372,,,
28-05-2020,86943,49903,890,,4654,4128,526,,,
29-05-2020,90638,51096,944,,3695,3355,340,,,
30-05-2020,94858,53430,997,,4220,3736,484,,,
31-05-2020,99688,55907,1054,,4830,4437,393,,,
01-06-2020,105159,59100,1113,,5471,5082,389,,,
02-06-2020,108686,21325,1188,86173,3527,3206,321,,,
03-06-2020,113628,21605,1275,90748,4942,4537,405,,,
04-06-2020,118292,21305,1356,95631,4664,4172,492,,,
05-06-2020,122499,21693,1448,99358,4207,3790,417,,,
06-06-2020,127745,22387,1541,103817,5246,4888,358,,,
07-06-2020,134150,24363,2190,107597,6405,5760,645,,,
08-06-2020,138846,24334,2264,112248,4696,4237,459,,,
09-06-2020,142759,23115,2283,117361,3913,3587,326,,,
10-06-2020,148496,24201,2475,121820,5737,5226,511,,,
11-06-2020,154092,25000,2648,126444,5596,5089,507,,,
12-06-2020,160846,26618,2870,131358,6754,6217,537,,,
13-06-2020,167355,26958,3101,137296,6509,5969,540,,,
14-06-2020,174293,27266,3323,143704,6938,6368,570,,,
15-06-2020,179436,27282,3362,148792,5143,4660,483,,,
16-06-2020,184449,24834,3383,156232,5013,4498,515,,,
17-06-2020,220628,35082,3615,181931,4757,4320,437,,,
18-06-2020,225103,34821,3841,186441,4475,4060,383,,,
19-06-2020,231393,35809,4093,191491,6290,5016,599,,,
20-06-2020,236748,35844,4295,196609,5355,4564,418,,,
21-06-2020,242355,37307,4479,200569,5607,4181,594,37307,21897,10482
22-06-2020,246963,37064,4502,205397,4608,3710,399,37064,22307,10029
23-06-2020,250767,35692,4505,210570,3804,3078,336,35692,24881,9403
24-06-2020,254416,34592,4731,215093,3649,3020,264,34592,26184,9674
25-06-2020,259064,34834,4903,219327,4648,3778,423,34834,27193,9646
26-06-2020,263360,34861,5068,223431,4296,3422,413,34861,28133,9720
27-06-2020,267766,34364,5347,228055,4406,3481,426,34364,29019,9659
28-06-2020,271982,34263,5509,232210,4216,3396,402,34263,29733,9595
29-06-2020,275999,34270,5575,236016,4017,3092,432,34270,30362,9320
30-06-2020,279393,32476,5688,241229,3394,2690,338,32476,30582,8385
01-07-2020,282043,30847,5753,245443,2650,2134,300,30847,30980,7806
02-07-2020,284541,29374,5920,249247,2498,2042,230,29374,32013,7921
03-07-2020,288089,28695,6051,253343,3548,2703,322,28695,32578,7543
04-07-2020,291847,28210,6192,257445,3758,2951,371,28210,33933,7986
05-07-2020,295532,28194,6308,261032,3685,2852,438,28194,34651,7785
06-07-2020,298557,27804,6384,264371,3025,2354,404,27804,34901,7263
07-07-2020,301019,26340,6434,268245,2462,1946,266,26340,35134,6536
08-07-2020,303083,24807,6573,271703,2064,1638,265,24807,35905,6513
09-07-2020,306216,24612,6682,274922,3133,2395,432,24612,36640,6518
10-07-2020,309274,24440,6781,278053,3058,2392,460,24440,37400,6633
11-07-2020,312029,24008,6881,280161,2755,2219,405,24008,38090,6609
12-07-2020,315041,24166,6979,283902,3012,2371,389,24166,38724,6637
13-07-2020,317657,24077,7024,286556,2616,1985,451,24077,39038,6321
14-07-2020,319493,23205,7069,289220,1836,1444,244,23205,39219,5800
15-07-2020,321205,21934,7186,292085,1712,1400,186,21934,39270,5601
16-07-2020,323698,21107,7290,295301,2475,1949,367,21107,38833,5390
