Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos sin notificar,Fallecidos totales,Casos activos confirmados
Arica - Parinacota,1420,49,46,3,0,12,375
Tarapaca,5355,97,76,16,5,80,992
Antofagasta,6708,247,218,24,5,100,1588
Atacama,718,35,28,7,0,2,246
Coquimbo,2428,69,53,6,10,17,691
Valparaiso,9615,317,259,21,37,170,1974
Metropolitana,198392,3026,2411,218,397,3892,25101
O'Higgins,4186,234,192,25,17,52,1641
Maule,4355,145,122,14,9,33,1287
Nuble,2181,22,22,0,0,28,437
Biobio,5158,247,190,44,13,35,1793
Araucania,3009,40,32,7,1,39,343
De los Rios,621,11,7,4,0,10,129
De los Lagos,1437,52,44,3,5,17,291
Aysen,28,0,0,0,0,0,6
Magallanes,1352,17,10,7,0,15,170
Total,246963,4608,3710,399,499,4502,37064
