Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos sin notificar,Fallecidos totales,Casos activos confirmados
Arica - Parinacota,1443,23,23,0,0,12,359
Tarapaca,5442,87,65,18,4,80,927
Antofagasta,6991,283,227,27,29,100,1659
Atacama,747,29,13,15,1,2,251
Coquimbo,2485,57,46,4,7,17,674
Valparaiso,9901,286,245,12,29,170,1948
Metropolitana,200861,2469,1994,178,297,3895,23867
O'Higgins,4361,175,148,18,9,52,1649
Maule,4504,149,121,27,1,33,1249
Nuble,2195,14,14,0,0,28,408
Biobio,5328,170,130,27,13,35,1820
Araucania,3027,18,16,2,0,39,302
De los Rios,625,4,4,0,0,10,117
De los Lagos,1466,29,26,3,0,17,285
Aysen,28,0,0,0,0,0,5
Magallanes,1363,11,6,5,0,15,172
Total,250767,3804,3078,336,390,4505,35692
