Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos sin notificar,Fallecidos totales,Casos activos confirmados
Arica - Parinacota,1371,46,43,3,0,12,354
Tarapaca,5258,115,92,20,3,80,982
Antofagasta,6461,246,208,21,17,100,1513
Atacama,683,33,28,4,1,2,232
Coquimbo,2359,86,67,15,4,17,681
Valparaiso,9298,284,246,17,21,170,1911
Metropolitana,195366,3789,2775,288,726,3870,25797
O'Higgins,3952,339,238,88,13,52,1533
Maule,4210,252,181,62,9,33,1272
Nuble,2159,24,17,7,0,28,459
Biobio,4911,253,193,33,27,34,1688
Araucania,2969,49,37,11,1,39,335
De los Rios,610,21,18,3,0,10,125
De los Lagos,1385,50,28,13,9,17,261
Aysen,28,0,0,0,0,0,6
Magallanes,1335,20,10,9,1,15,158
Total,242355,5607,4181,594,832,4479,37307
