Region,Serie,Fecha,Casos
Arica y Parinacota,Camas UCI habilitadas,2020-04-19,21.0
Tarapacá,Camas UCI habilitadas,2020-04-19,15.0
Antofagasta,Camas UCI habilitadas,2020-04-19,68.0
Atacama,Camas UCI habilitadas,2020-04-19,11.0
Coquimbo,Camas UCI habilitadas,2020-04-19,50.0
Valparaíso,Camas UCI habilitadas,2020-04-19,158.0
Metropolitana,Camas UCI habilitadas,2020-04-19,816.0
O’Higgins,Camas UCI habilitadas,2020-04-19,61.0
Maule,Camas UCI habilitadas,2020-04-19,50.0
Ñuble,Camas UCI habilitadas,2020-04-19,27.0
Biobío,Camas UCI habilitadas,2020-04-19,140.0
Araucanía,Camas UCI habilitadas,2020-04-19,82.0
Los Ríos,Camas UCI habilitadas,2020-04-19,23.0
Los Lagos,Camas UCI habilitadas,2020-04-19,65.0
Aysén,Camas UCI habilitadas,2020-04-19,8.0
Magallanes,Camas UCI habilitadas,2020-04-19,32.0
Total,Camas UCI habilitadas,2020-04-19,1627.0
Arica y Parinacota,Camas UCI ocupadas COVID-19,2020-04-19,5.0
Tarapacá,Camas UCI ocupadas COVID-19,2020-04-19,1.0
Antofagasta,Camas UCI ocupadas COVID-19,2020-04-19,5.0
Atacama,Camas UCI ocupadas COVID-19,2020-04-19,1.0
Coquimbo,Camas UCI ocupadas COVID-19,2020-04-19,0.0
Valparaíso,Camas UCI ocupadas COVID-19,2020-04-19,22.0
Metropolitana,Camas UCI ocupadas COVID-19,2020-04-19,186.0
O’Higgins,Camas UCI ocupadas COVID-19,2020-04-19,4.0
Maule,Camas UCI ocupadas COVID-19,2020-04-19,15.0
Ñuble,Camas UCI ocupadas COVID-19,2020-04-19,14.0
Biobío,Camas UCI ocupadas COVID-19,2020-04-19,26.0
Araucanía,Camas UCI ocupadas COVID-19,2020-04-19,44.0
Los Ríos,Camas UCI ocupadas COVID-19,2020-04-19,7.0
Los Lagos,Camas UCI ocupadas COVID-19,2020-04-19,25.0
Aysén,Camas UCI ocupadas COVID-19,2020-04-19,0.0
Magallanes,Camas UCI ocupadas COVID-19,2020-04-19,18.0
Total,Camas UCI ocupadas COVID-19,2020-04-19,373.0
Arica y Parinacota,Camas UCI ocupadas no COVID-19,2020-04-19,8.0
Tarapacá,Camas UCI ocupadas no COVID-19,2020-04-19,4.0
Antofagasta,Camas UCI ocupadas no COVID-19,2020-04-19,40.0
Atacama,Camas UCI ocupadas no COVID-19,2020-04-19,4.0
Coquimbo,Camas UCI ocupadas no COVID-19,2020-04-19,30.0
Valparaíso,Camas UCI ocupadas no COVID-19,2020-04-19,79.0
Metropolitana,Camas UCI ocupadas no COVID-19,2020-04-19,345.0
O’Higgins,Camas UCI ocupadas no COVID-19,2020-04-19,35.0
Maule,Camas UCI ocupadas no COVID-19,2020-04-19,12.0
Ñuble,Camas UCI ocupadas no COVID-19,2020-04-19,2.0
Biobío,Camas UCI ocupadas no COVID-19,2020-04-19,55.0
Araucanía,Camas UCI ocupadas no COVID-19,2020-04-19,22.0
Los Ríos,Camas UCI ocupadas no COVID-19,2020-04-19,9.0
Los Lagos,Camas UCI ocupadas no COVID-19,2020-04-19,29.0
Aysén,Camas UCI ocupadas no COVID-19,2020-04-19,1.0
Magallanes,Camas UCI ocupadas no COVID-19,2020-04-19,9.0
Total,Camas UCI ocupadas no COVID-19,2020-04-19,684.0
Arica y Parinacota,Camas base (2019),2020-04-19,9.0
Tarapacá,Camas base (2019),2020-04-19,12.0
Antofagasta,Camas base (2019),2020-04-19,48.0
Atacama,Camas base (2019),2020-04-19,11.0
Coquimbo,Camas base (2019),2020-04-19,29.0
Valparaíso,Camas base (2019),2020-04-19,125.0
Metropolitana,Camas base (2019),2020-04-19,745.0
O’Higgins,Camas base (2019),2020-04-19,61.0
Maule,Camas base (2019),2020-04-19,45.0
Ñuble,Camas base (2019),2020-04-19,16.0
Biobío,Camas base (2019),2020-04-19,97.0
Araucanía,Camas base (2019),2020-04-19,49.0
Los Ríos,Camas base (2019),2020-04-19,13.0
Los Lagos,Camas base (2019),2020-04-19,49.0
Aysén,Camas base (2019),2020-04-19,8.0
Magallanes,Camas base (2019),2020-04-19,14.0
Total,Camas base (2019),2020-04-19,1331.0
Arica y Parinacota,Camas UCI habilitadas,2020-04-26,21.0
Tarapacá,Camas UCI habilitadas,2020-04-26,11.0
Antofagasta,Camas UCI habilitadas,2020-04-26,75.0
Atacama,Camas UCI habilitadas,2020-04-26,11.0
Coquimbo,Camas UCI habilitadas,2020-04-26,49.0
Valparaíso,Camas UCI habilitadas,2020-04-26,156.0
Metropolitana,Camas UCI habilitadas,2020-04-26,888.0
O’Higgins,Camas UCI habilitadas,2020-04-26,56.0
Maule,Camas UCI habilitadas,2020-04-26,50.0
Ñuble,Camas UCI habilitadas,2020-04-26,27.0
Biobío,Camas UCI habilitadas,2020-04-26,150.0
Araucanía,Camas UCI habilitadas,2020-04-26,82.0
Los Ríos,Camas UCI habilitadas,2020-04-26,17.0
Los Lagos,Camas UCI habilitadas,2020-04-26,69.0
Aysén,Camas UCI habilitadas,2020-04-26,8.0
Magallanes,Camas UCI habilitadas,2020-04-26,32.0
Total,Camas UCI habilitadas,2020-04-26,1702.0
Arica y Parinacota,Camas UCI ocupadas COVID-19,2020-04-26,9.0
Tarapacá,Camas UCI ocupadas COVID-19,2020-04-26,2.0
Antofagasta,Camas UCI ocupadas COVID-19,2020-04-26,15.0
Atacama,Camas UCI ocupadas COVID-19,2020-04-26,1.0
Coquimbo,Camas UCI ocupadas COVID-19,2020-04-26,0.0
Valparaíso,Camas UCI ocupadas COVID-19,2020-04-26,14.0
Metropolitana,Camas UCI ocupadas COVID-19,2020-04-26,248.0
O’Higgins,Camas UCI ocupadas COVID-19,2020-04-26,4.0
Maule,Camas UCI ocupadas COVID-19,2020-04-26,10.0
Ñuble,Camas UCI ocupadas COVID-19,2020-04-26,10.0
Biobío,Camas UCI ocupadas COVID-19,2020-04-26,23.0
Araucanía,Camas UCI ocupadas COVID-19,2020-04-26,38.0
Los Ríos,Camas UCI ocupadas COVID-19,2020-04-26,7.0
Los Lagos,Camas UCI ocupadas COVID-19,2020-04-26,17.0
Aysén,Camas UCI ocupadas COVID-19,2020-04-26,0.0
Magallanes,Camas UCI ocupadas COVID-19,2020-04-26,17.0
Total,Camas UCI ocupadas COVID-19,2020-04-26,415.0
Arica y Parinacota,Camas UCI ocupadas no COVID-19,2020-04-26,3.0
Tarapacá,Camas UCI ocupadas no COVID-19,2020-04-26,4.0
Antofagasta,Camas UCI ocupadas no COVID-19,2020-04-26,47.0
Atacama,Camas UCI ocupadas no COVID-19,2020-04-26,4.0
Coquimbo,Camas UCI ocupadas no COVID-19,2020-04-26,27.0
Valparaíso,Camas UCI ocupadas no COVID-19,2020-04-26,81.0
Metropolitana,Camas UCI ocupadas no COVID-19,2020-04-26,321.0
O’Higgins,Camas UCI ocupadas no COVID-19,2020-04-26,31.0
Maule,Camas UCI ocupadas no COVID-19,2020-04-26,22.0
Ñuble,Camas UCI ocupadas no COVID-19,2020-04-26,1.0
Biobío,Camas UCI ocupadas no COVID-19,2020-04-26,62.0
Araucanía,Camas UCI ocupadas no COVID-19,2020-04-26,22.0
Los Ríos,Camas UCI ocupadas no COVID-19,2020-04-26,6.0
Los Lagos,Camas UCI ocupadas no COVID-19,2020-04-26,30.0
Aysén,Camas UCI ocupadas no COVID-19,2020-04-26,0.0
Magallanes,Camas UCI ocupadas no COVID-19,2020-04-26,6.0
Total,Camas UCI ocupadas no COVID-19,2020-04-26,667.0
Arica y Parinacota,Camas base (2019),2020-04-26,9.0
Tarapacá,Camas base (2019),2020-04-26,12.0
Antofagasta,Camas base (2019),2020-04-26,48.0
