Egresos semanales,S03-04_03-08,S03-09_03-15,S03-16_03-22,S03-23_03-29,S03-30_04-05,S04-06_04-12,S04-13_04-19,S04-20_04-26,S04-27_05-03,S05-04_05-10,S05-11_05-17,S05-18_05-24,S05-25_05-31,S06-01_06-07,S06-08_06-14,S06-15_06-21,S06-22_06-28,S06-29_07-05,S07-06_07-12,S07-13_07-20,S07-21_07-26,S07-27_08-02,S08-03_08-09,S08-10_08-16,S08-17_08-23,S08-24_08-30,S08-31_09-06,S09-07_09-13,S09-14_09-20,S09-21_09-27,S09-28_10-04,S10-05_10-11,S10-12_10-18,S10-19_10-25
2020-06-26,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,670.0,1000.0,1635.0,2147.0,2189.0,2202.0,2225.0,,,,,,,,,,,,,,,,,,
2020-06-27,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,670.0,1000.0,1647.0,2189.0,2266.0,2253.0,2343.0,,,,,,,,,,,,,,,,,,
2020-06-28,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,670.0,1000.0,1647.0,2189.0,2266.0,2253.0,2343.0,,,,,,,,,,,,,,,,,,
2020-06-29,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,670.0,1000.0,1647.0,2189.0,2266.0,2253.0,2343.0,,,,,,,,,,,,,,,,,,
2020-06-30,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,670.0,1000.0,1647.0,2189.0,2266.0,2253.0,2343.0,,,,,,,,,,,,,,,,,,
2020-07-01,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,,,,,,,,,,,,,,,,,
2020-07-02,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,,,,,,,,,,,,,,,,,
2020-07-03,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,,,,,,,,,,,,,,,,,
2020-07-04,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,,,,,,,,,,,,,,,,,
2020-07-05,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,,,,,,,,,,,,,,,,,
2020-07-06,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,,,,,,,,,,,,,,,,,
2020-07-07,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,,,,,,,,,,,,,,,,,
2020-07-08,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,2001.0,,,,,,,,,,,,,,,,
2020-07-09,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,2001.0,,,,,,,,,,,,,,,,
