Nombre de estacion,Arica,Alto_Hospicio,Antofagasta,Copiapó,Huasco,Coquimbo,La_Serena,Concón,Valparaíso,Viña_del_Mar,Independencia,La_Florida,Las_Condes,Santiago,Pudahuel,El_Bosque,Cerro_Navia,Puente_Alto,Quilicura,Rancagua_I,Rancagua_II,Rengo,San_Fernando,Curicó,Talca_La_Florida,UC_Maule,U_Talca,Linares,Nielol,Las_Encinas,Padre_las_Casas,Valdivia,Valdivia_II,Osorno,Mirasol,Alerce,Coyhaique_I,Coyhaique_II,Punta_Arenas,La_Unión,Vialidad,Talagante
2021-01-01 15:00:00,3.86842,3.0,6.0,10.915,11.0,13.1767,9.0,12.0,11.385,9.70917,16.0,14.0,13.0,11.0,15.0,15.0,17.0,17.0,15.0,9.0,15.0,10.0,9.0,12.0,5.0,,8.0,1.0,4.0,7.0,4.0,3.0,5.0,3.0,3.0,,2.0,8.0,8.30392,3.0,3.0,
2021-01-01 16:00:00,14.185,10.0,6.0,11.1008,11.0,6.5686,6.0,8.0,15.6325,6.9863399999999976,15.0,11.0,10.0,12.0,17.0,12.0,17.0,14.0,14.0,7.0,13.0,9.0,4.0,14.0,6.0,,6.0,1.0,4.0,7.0,6.0,3.0,7.0,4.0,2.0,1.0,1.0,9.0,11.525,1.0,1.0,
2021-01-01 17:00:00,5.81033,7.0,6.0,12.6133,11.0,,4.0,11.0,13.7125,6.7573300000000005,12.0,12.0,12.0,14.0,17.0,12.0,21.0,20.0,12.0,6.0,8.0,10.0,9.0,11.0,11.0,,8.0,1.0,6.0,5.0,7.0,3.0,5.0,3.0,3.0,1.0,1.0,6.0,12.2275,4.0,4.0,
2021-01-01 18:00:00,8.82959,4.0,8.0,12.7025,10.0,4.41456,4.0,10.0,11.776,11.2942,15.0,13.0,12.0,11.0,9.0,12.0,17.0,19.0,13.0,10.0,11.0,11.0,17.0,14.0,12.0,,11.0,4.0,7.0,8.0,6.0,4.0,10.0,5.0,1.0,1.0,1.0,6.0,9.32367,3.0,4.0,
2021-01-01 19:00:00,13.4394,7.0,7.0,12.0083,11.0,7.0935,6.0,11.0,15.8871,15.0425,12.0,13.0,13.0,10.0,13.0,11.0,16.0,17.0,11.0,16.0,13.0,16.0,17.0,15.0,14.0,,10.0,3.0,8.0,12.0,10.0,7.0,6.0,5.0,1.0,1.0,9.0,14.0,4.09658,3.0,6.0,
2021-01-01 20:00:00,8.21899,5.0,10.0,11.3508,10.0,4.30546,6.0,11.0,5.05125,19.7825,12.0,15.0,14.0,11.0,12.0,12.0,14.0,16.0,14.0,13.0,12.0,12.0,17.0,13.0,14.0,,10.0,7.0,5.0,7.0,12.0,12.0,10.0,4.0,2.0,6.0,6.0,12.0,1.34817,8.0,5.0,
2021-01-01 21:00:00,4.20209,10.0,9.0,10.9158,8.0,2.167,7.0,11.0,9.14291,23.5575,13.0,12.0,12.0,10.0,12.0,9.0,18.0,16.0,14.0,13.0,12.0,13.0,10.0,12.0,12.0,,12.0,7.0,4.0,6.0,7.0,12.0,9.0,11.0,6.0,12.0,3.0,9.0,,8.0,3.0,
2021-01-01 22:00:00,8.43542,8.0,8.0,10.6158,8.0,8.92708,7.0,9.0,9.10025,23.1875,12.0,14.0,9.0,7.0,11.0,13.0,9.0,16.0,11.0,12.0,12.0,8.0,10.0,15.0,10.0,,12.0,7.0,3.0,8.0,8.0,7.0,11.0,9.0,5.0,7.0,1.0,7.0,,6.0,2.0,
2021-01-01 23:00:00,11.6581,9.0,6.0,10.4733,8.0,11.643,5.0,12.0,15.1108,20.9317,14.0,12.0,14.0,9.0,9.0,8.0,10.0,13.0,9.0,11.0,11.0,11.0,18.0,13.0,7.0,,10.0,8.0,4.0,5.0,6.0,7.0,8.0,7.0,3.0,10.0,2.0,7.0,,16.0,1.0,
2021-01-02 00:00:00,3.00342,5.0,4.0,11.8925,8.0,16.8243,6.0,14.0,12.8925,18.9558,14.0,9.0,11.0,8.0,10.0,6.0,11.0,12.0,32.0,10.0,12.0,8.0,18.0,16.0,9.0,,11.0,11.0,2.0,3.0,4.0,7.0,10.0,4.0,3.0,10.0,3.0,6.0,,5.0,5.0,
