Region,Antofagasta,Arica y Parinacota,Atacama,Aysén,Biobío,Coquimbo,Araucanía,O’Higgins,Los Lagos,Los Ríos,Magallanes,Maule,Metropolitana,Tarapacá,Valparaíso,Ñuble,Total
2020-03-03,,,,,,,,,,,,,,,,,
2020-03-04,,,,,,,,,,,,,,,,,
2020-03-05,,,,,,,,,,,,,,,,,
2020-03-06,,,,,,,,,,,,,,,,,
2020-03-07,,,,,,,,,,,,,,,,,
2020-03-08,,,,,,,,,,,,,,,,,
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0
2020-03-14,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0
2020-03-15,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0
2020-03-16,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.3,0.1
2020-03-17,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.2,0.0,0.0,0.7,0.1
2020-03-18,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.2,0.1,0.3,0.0,0.0,0.7,0.2
2020-03-19,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.2,0.0,0.2,0.1,0.4,0.0,0.0,0.8,0.2
2020-03-20,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.3,0.0,0.2,0.1,0.5,0.0,0.0,1.2,0.3
2020-03-21,0.2,0.1,0.0,0.0,0.2,0.1,0.2,0.1,0.3,0.0,0.2,0.1,0.6,0.0,0.1,1.5,0.3
