Grupo de edad,fecha,Casos confirmados
<=39,2020-04-01,23
40-49,2020-04-01,23
50-59,2020-04-01,53
60-69,2020-04-01,39
>=70,2020-04-01,35
<=39,2020-04-02,23
40-49,2020-04-02,27
50-59,2020-04-02,67
60-69,2020-04-02,46
>=70,2020-04-02,37
<=39,2020-04-03,26
40-49,2020-04-03,34
50-59,2020-04-03,74
60-69,2020-04-03,56
>=70,2020-04-03,47
<=39,2020-04-04,40
40-49,2020-04-04,36
50-59,2020-04-04,84
60-69,2020-04-04,68
>=70,2020-04-04,52
<=39,2020-04-05,40
40-49,2020-04-05,40
50-59,2020-04-05,89
60-69,2020-04-05,75
>=70,2020-04-05,63
<=39,2020-04-06,38
40-49,2020-04-06,40
50-59,2020-04-06,95
60-69,2020-04-06,78
>=70,2020-04-06,76
<=39,2020-04-07,39
40-49,2020-04-07,38
50-59,2020-04-07,101
60-69,2020-04-07,82
>=70,2020-04-07,77
<=39,2020-04-08,42
40-49,2020-04-08,39
50-59,2020-04-08,109
60-69,2020-04-08,93
>=70,2020-04-08,79
<=39,2020-04-09,46
40-49,2020-04-09,48
50-59,2020-04-09,102
60-69,2020-04-09,89
>=70,2020-04-09,75
<=39,2020-04-10,45
40-49,2020-04-10,48
50-59,2020-04-10,111
60-69,2020-04-10,99
>=70,2020-04-10,80
<=39,2020-04-11,43
40-49,2020-04-11,50
50-59,2020-04-11,111
60-69,2020-04-11,100
>=70,2020-04-11,79
<=39,2020-04-12,41
40-49,2020-04-12,48
50-59,2020-04-12,110
60-69,2020-04-12,106
>=70,2020-04-12,82
<=39,2020-04-13,40
40-49,2020-04-13,45
50-59,2020-04-13,112
60-69,2020-04-13,106
>=70,2020-04-13,84
<=39,2020-04-14,42
40-49,2020-04-14,43
50-59,2020-04-14,105
60-69,2020-04-14,105
>=70,2020-04-14,84
<=39,2020-04-15,42
40-49,2020-04-15,45
50-59,2020-04-15,107
60-69,2020-04-15,110
>=70,2020-04-15,85
<=39,2020-04-16,41
40-49,2020-04-16,43
50-59,2020-04-16,103
60-69,2020-04-16,111
>=70,2020-04-16,86
<=39,2020-04-17,38
40-49,2020-04-17,44
50-59,2020-04-17,109
60-69,2020-04-17,107
>=70,2020-04-17,87
<=39,2020-04-18,34
40-49,2020-04-18,41
50-59,2020-04-18,98
60-69,2020-04-18,103
>=70,2020-04-18,84
<=39,2020-04-19,38
40-49,2020-04-19,40
50-59,2020-04-19,96
60-69,2020-04-19,111
>=70,2020-04-19,88
<=39,2020-04-20,41
40-49,2020-04-20,38
50-59,2020-04-20,96
60-69,2020-04-20,112
>=70,2020-04-20,90
<=39,2020-04-21,41
40-49,2020-04-21,42
50-59,2020-04-21,97
60-69,2020-04-21,121
>=70,2020-04-21,91
<=39,2020-04-22,44
40-49,2020-04-22,43
50-59,2020-04-22,96
60-69,2020-04-22,120
>=70,2020-04-22,96
<=39,2020-04-23,55
40-49,2020-04-23,40
50-59,2020-04-23,99
60-69,2020-04-23,120
>=70,2020-04-23,97
<=39,2020-04-24,58
40-49,2020-04-24,45
50-59,2020-04-24,100
60-69,2020-04-24,113
>=70,2020-04-24,99
<=39,2020-04-25,61
40-49,2020-04-25,40
50-59,2020-04-25,102
60-69,2020-04-25,114
>=70,2020-04-25,101
<=39,2020-04-26,61
40-49,2020-04-26,41
50-59,2020-04-26,101
60-69,2020-04-26,111
>=70,2020-04-26,101
<=39,2020-04-27,63
40-49,2020-04-27,39
50-59,2020-04-27,105
60-69,2020-04-27,112
>=70,2020-04-27,107
<=39,2020-04-28,64
40-49,2020-04-28,39
50-59,2020-04-28,105
