fecha_primeros_sintomas,prop3d
2020-03-10,0.0265439509136988
2020-03-11,0.0322582366279845
2020-03-12,0.0368665315588601
2020-03-13,0.0460408434854656
2020-03-14,0.0441787847933756
2020-03-15,0.0537707606430202
2020-03-16,0.0497799751396297
2020-03-17,0.0633854173165004
2020-03-18,0.069675933522983
2020-03-19,0.0759312996458825
2020-03-20,0.0767343119823156
2020-03-21,0.0815635149789359
2020-03-22,0.0753986675564197
2020-03-23,0.0849336825859403
2020-03-24,0.0945610629498505
2020-03-25,0.10059624152640101
2020-03-26,0.10634387615368901
2020-03-27,0.12131762821158901
2020-03-28,0.140184217400456
2020-03-29,0.163522721002118
2020-03-30,0.17706499042888102
2020-03-31,0.186299700355633
2020-04-01,0.193514148806675
2020-04-02,0.21316999155993302
2020-04-03,0.221552248572327
2020-04-04,0.22191502254789602
2020-04-05,0.23108661184958604
2020-04-06,0.236986438787996
2020-04-07,0.24997345177500896
2020-04-08,0.26388952973909097
2020-04-09,0.254092979540064
2020-04-10,0.248778588590314
2020-04-11,0.25755746059698104
2020-04-12,0.261765099799711
2020-04-13,0.270300878402379
2020-04-14,0.277808005421701
2020-04-15,0.293348744709867
2020-04-16,0.3126657022621189
2020-04-17,0.322959798191574
2020-04-18,0.326925667942903
2020-04-19,0.319529524312586
2020-04-20,0.318952771872479
2020-04-21,0.315171427267464
2020-04-22,0.308079228685904
2020-04-23,0.307331365438041
2020-04-24,0.306514453558222
2020-04-25,0.296970269176204
2020-04-26,0.300863534847323
2020-04-27,0.30138674263118603
2020-04-28,0.299197591524503
2020-04-29,0.295700728416409
2020-04-30,0.29276630903462103
2020-05-01,0.2807519472136
2020-05-02,0.26633900181618503
2020-05-03,0.24821553776069197
2020-05-04,0.24057495617308702
2020-05-05,0.222687768946562
2020-05-06,0.208308868610593
2020-05-07,0.192829139387202
2020-05-08,0.184728117749413
2020-05-09,0.182667060760383
2020-05-10,0.17896088279872802
2020-05-11,0.164155057502519
2020-05-12,0.152203848205738
2020-05-13,0.136638403451312
2020-05-14,0.124857726974676
2020-05-15,0.12093134785561599
2020-05-16,0.11866882742743401
2020-05-17,0.11854500338473599
2020-05-18,0.120985378299112
2020-05-19,0.127499169425286
2020-05-20,0.130608064315138
2020-05-21,0.136097360464316
2020-05-22,0.14370526767123598
2020-05-23,0.147534206342405
2020-05-24,0.14702236691974402
2020-05-25,0.14668871361229402
2020-05-26,0.147353684234004
2020-05-27,0.15412609399166102
2020-05-28,0.154604138730706
2020-05-29,0.15528361664458498
2020-05-30,0.158726162052041
