Categoria,Fecha inicio de sintomas,Fecha inicio de sintomas,Fecha inicio de sintomas,Fecha notificación,Fecha notificación,Fecha notificación
Serie,confirmada,no notificada,probable,confirmada,no notificada,probable
2020-02-22,1,0,0,0,0,0
2020-02-23,1,0,0,0,0,0
2020-02-24,1,0,1,0,0,0
2020-02-25,9,0,0,0,0,0
2020-02-26,2,0,1,0,0,0
2020-02-27,3,0,0,0,0,0
2020-02-28,3,0,1,1,0,0
2020-02-29,1,0,0,0,0,0
2020-03-01,10,0,0,0,0,0
2020-03-02,7,0,1,1,0,0
2020-03-03,9,0,0,1,0,0
2020-03-04,9,0,0,2,0,0
2020-03-05,28,0,2,4,0,0
2020-03-06,13,0,2,1,0,0
2020-03-07,14,0,0,2,0,0
2020-03-08,24,0,0,6,0,0
2020-03-09,36,0,0,2,0,0
2020-03-10,65,1,1,10,1,1
2020-03-11,53,0,0,17,0,0
2020-03-12,69,1,2,13,1,0
2020-03-13,117,0,1,24,0,0
2020-03-14,149,3,0,46,3,0
2020-03-15,177,0,3,50,0,0
2020-03-16,284,1,2,87,1,1
2020-03-17,256,2,1,148,2,0
2020-03-18,270,1,2,115,1,1
2020-03-19,295,2,1,152,2,2
2020-03-20,366,1,2,175,1,0
2020-03-21,312,3,0,167,3,0
2020-03-22,301,5,0,156,5,0
2020-03-23,397,2,3,215,2,1
2020-03-24,328,7,1,287,7,1
2020-03-25,342,3,6,357,3,2
2020-03-26,345,4,1,377,4,1
2020-03-27,352,5,5,383,5,1
2020-03-28,326,7,1,273,7,4
2020-03-29,283,9,3,300,9,1
2020-03-30,382,12,1,372,12,4
2020-03-31,331,9,0,356,9,0
2020-04-01,474,4,6,351,4,1
2020-04-02,384,10,6,441,10,3
2020-04-03,392,8,3,428,8,0
2020-04-04,381,9,3,322,9,0
2020-04-05,339,12,8,240,12,1
2020-04-06,423,28,9,467,28,0
2020-04-07,382,35,3,502,35,1
2020-04-08,402,21,1,472,21,2
2020-04-09,429,41,1,433,41,0
2020-04-10,450,18,2,250,18,0
2020-04-11,339,29,2,291,29,1
2020-04-12,372,29,1,211,29,2
2020-04-13,551,64,5,564,64,0
2020-04-14,488,57,0,507,57,3
2020-04-15,615,60,4,571,60,2
2020-04-16,566,61,1,585,61,0
2020-04-17,572,61,3,542,61,2
2020-04-18,528,37,2,444,37,1
2020-04-19,510,35,2,329,35,1
2020-04-20,929,140,12,612,140,0
2020-04-21,695,105,3,618,105,4
2020-04-22,782,79,5,712,79,3
2020-04-23,850,69,3,744,69,5
2020-04-24,1051,65,8,748,65,1
2020-04-25,1036,57,13,514,57,3
2020-04-26,1053,71,12,434,71,4
2020-04-27,1690,82,21,1176,82,6
2020-04-28,1637,128,24,1335,128,14
2020-04-29,1627,162,22,1608,162,4
2020-04-30,1957,114,21,1712,114,13
2020-05-01,2823,43,57,1111,43,10
