codigo_region,15,15,15,15,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,14,14,14,14,14,14,14,14,14,14,14,14,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12
region_residencia,Arica y Parinacota,Arica y Parinacota,Arica y Parinacota,Arica y Parinacota,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,O’Higgins,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Araucanía,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Aysén,Aysén,Aysén,Aysén,Aysén,Aysén,Aysén,Aysén,Aysén,Aysén,Magallanes,Magallanes,Magallanes,Magallanes,Magallanes,Magallanes,Magallanes,Magallanes,Magallanes,Magallanes,Magallanes
codigo_comuna,15101,15102,15202,15201,1107,1402,1403,1404,1101,1405,1401,2101,2201,2302,2102,2202,2203,2103,2104,2301,3302,3102,3201,3101,3202,3303,3304,3103,3301,4103,4202,4302,4102,4201,4104,4101,4203,4303,4301,4105,4304,4305,4204,4106,5602,5402,5502,5302,5603,5102,5702,5103,5604,5605,5503,5201,5104,5504,5401,5802,5703,5301,5506,5803,5704,5403,5404,5105,5705,5501,5801,5107,5303,5601,5304,5701,5706,5606,5101,5804,5109,5405,13502,13402,13403,13102,13103,13301,13104,13503,13105,13602,13106,13107,13108,13603,13109,13110,13111,13112,13113,13302,13114,13115,13116,13117,13118,13119,13504,13501,13120,13604,13404,13121,13605,13122,13202,13123,13124,13201,13125,13126,13127,13128,13401,13129,13203,13130,13505,13131,13101,13601,13303,13132,6302,6303,6102,6103,6104,6105,6106,6202,6107,6203,6304,6108,6109,6204,6110,6305,6205,6111,6306,6206,6307,6112,6113,6201,6308,6309,6114,6101,6115,6116,6301,6117,6310,7201,7202,7402,7102,7103,7301,7104,7302,7303,7401,7403,7105,7304,7404,7106,7203,7107,7305,7405,7108,7306,7307,7109,7406,7110,7101,7308,7309,7407,7408,16102,16101,16103,16202,16203,16302,16104,16204,16303,16105,16106,16205,16107,16201,16206,16301,16304,16108,16305,16207,16109,8314,8302,8202,8303,8203,8103,8101,8204,8102,8205,8104,8112,8105,8304,8201,8206,8301,8106,8305,8306,8307,8107,8308,8309,8108,8310,8311,8109,8110,8207,8111,8312,8313,9201,9102,9121,9202,9103,9203,9104,9204,9105,9106,9107,9108,9109,9205,9206,9207,9110,9111,9112,9113,9114,9115,9208,9209,9116,9101,9117,9118,9210,9211,9119,9120,14102,14202,14201,14203,14103,14104,14105,14106,14107,14108,14204,14101,10202,10102,10201,10401,10203,10103,10204,10205,10104,10105,10402,10403,10107,10106,10108,10301,10404,10101,10302,10109,10206,10303,10304,10207,10208,10209,10210,10305,10306,10307,11201,11401,11202,11301,11101,11203,11102,11302,11402,11303,12202,12201,12102,12401,12301,12302,12101,12103,12104,12303,12402
comuna_residencia,Arica,Camarones,General Lagos,Putre,Alto Hospicio,Camiña,Colchane,Huara,Iquique,Pica,Pozo Almonte,Antofagasta,Calama,Maria Elena,Mejillones,Ollagüe,San Pedro de Atacama,Sierra Gorda,Taltal,Tocopilla,Alto del Carmen,Caldera,Chañaral,Copiapó,Diego de Almagro,Freirina,Huasco,Tierra Amarilla,Vallenar,Andacollo,Canela,Combarbalá,Coquimbo,Illapel,La Higuera,La Serena,Los Vilos,Monte Patria,Ovalle,Paiguano,Punitaqui,Río Hurtado,Salamanca,Vicuña,Algarrobo,Cabildo,Calera,Calle Larga,Cartagena,Casablanca,Catemu,Concón,El Quisco,El Tabo,Hijuelas,Isla de Pascua,Juan Fernández,La Cruz,La Ligua,Limache,Llaillay,Los Andes,Nogales,Olmué,Panquehue,Papudo,Petorca,Puchuncaví,Putaendo,Quillota,Quilpue,Quintero,Rinconada,San Antonio,San Esteban,San Felipe,Santa Maria,Santo Domingo,Valparaiso,Villa Alemana,Viña del Mar,Zapallar,Alhué,Buin,Calera de Tango,Cerrillos,Cerro Navia,Colina,Conchalí,Curacaví,El Bosque,El Monte,Estación Central,Huechuraba,Independencia,Isla de Maipo,La Cisterna,La Florida,La Granja,La Pintana,La Reina,Lampa,Las Condes,Lo Barnechea,Lo Espejo,Lo Prado,Macul,Maipú,Maria Pinto,Melipilla,Ñuñoa,Padre Hurtado,Paine,Pedro Aguirre Cerda,Peñaflor,Peñalolén,Pirque,Providencia,Pudahuel,Puente Alto,Quilicura,Quinta Normal,Recoleta,Renca,San Bernardo,San Joaquín,San José de Maipo,San Miguel,San Pedro,San Ramón,Santiago,Talagante,Tiltil,Vitacura,Chepica,Chimbarongo,Codegua,Coinco,Coltauco,Doñihue,Graneros,La Estrella,Las Cabras,Litueche,Lolol,Machalí,Malloa,Marchihue,Mostazal,Nancagua,Navidad,Olivar,Palmilla,Paredones,Peralillo,Peumo,Pichidegua,Pichilemu,Placilla,Pumanque,Quinta de Tilcoco,Rancagua,Rengo,Requínoa,San Fernando,San Vicente,Santa Cruz,Cauquenes,Chanco,Colbún,Constitución,Curepto,Curicó,Empedrado,Hualañé,Licantén,Linares,Longaví,Maule,Molina,Parral,Pelarco,Pelluhue,Pencahue,Rauco,Retiro,Río Claro,Romeral,Sagrada Familia,San Clemente,San Javier,San Rafael,Talca,Teno,Vichuquén,Villa Alegre,Yerbas Buenas,Bulnes,Chillán,Chillán Viejo,Cobquecura,Coelemu,Coihueco,El Carmen,Ninhue,Ñiquén,Pemuco,Pinto,Portezuelo,Quillón,Quirihue,Ránquil,San Carlos,San Fabián,San Ignacio,San Nicolás,Treguaco,Yungay,Alto Biobío,Antuco,Arauco,Cabrero,Cañete,Chiguayante,Concepción,Contulmo,Coronel,Curanilahue,Florida,Hualpén,Hualqui,Laja,Lebu,Los Álamos,Los Ángeles,Lota,Mulchén,Nacimiento,Negrete,Penco,Quilaco,Quilleco,San Pedro de la Paz,San Rosendo,Santa Bárbara,Santa Juana,Talcahuano,Tirúa,Tome,Tucapel,Yumbel,Angol,Carahue,Cholchol,Collipulli,Cunco,Curacautín,Curarrehue,Ercilla,Freire,Galvarino,Gorbea,Lautaro,Loncoche,Lonquimay,Los Sauces,Lumaco,Melipeuco,Nueva Imperial,Padre Las Casas,Perquenco,Pitrufquén,Pucón,Purén,Renaico,Saavedra,Temuco,Teodoro Schmidt,Toltén,Traiguén,Victoria,Vilcún,Villarrica,Corral,Futrono,La Unión,Lago Ranco,Lanco,Los Lagos,Máfil,Mariquina,Paillaco,Panguipulli,Río Bueno,Valdivia,Ancud,Calbuco,Castro,Chaitén,Chonchi,Cochamó,Curaco de Vélez,Dalcahue,Fresia,Frutillar,Futaleufú,Hualaihué,Llanquihue,Los Muermos,Maullín,Osorno,Palena,Puerto Montt,Puerto Octay,Puerto Varas,Puqueldón,Purranque,Puyehue,Queilén,Quellón,Quemchi,Quinchao,Río Negro,San Juan de la Costa,San Pablo,Aisén,Chile Chico,Cisnes,Cochrane,Coyhaique,Guaitecas,Lago Verde,O'Higgins,Río Ibáñez,Tortel,Antártica,Cabo de Hornos,Laguna Blanca,Natales,Porvenir,Primavera,Punta Arenas,Río Verde,San Gregorio,Timaukel,Torres del Paine
2020-12-10,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,3,1,2,2,3,2,1,2,2,2,3,2,3,2,2,3,2,2,3,3,3,2,3,3,2,2,3,2,3,3,1,3,1,2,3,3,1,3,1,2,3,1,3,3,1,4,3,3,1,2,3,3,4,2,3,1,3,2,3,3,2,3,3,1,2,2,2,1,4,3,2,2,2,1,1,1,2,3,1,3,3,2,3,3,3,2,3,2,1,2,3,2,3,2,1,2,3,1,3,1,2,2,2,3,4,4,4,4,3,4,4,4,4,4,3,1,3,1,2,3,1,3,3,3,3
2020-12-11,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,3,1,2,2,3,2,1,2,2,2,3,2,3,2,2,3,2,2,3,3,3,2,3,3,2,2,3,2,3,3,1,3,1,2,3,3,1,3,1,2,3,1,3,3,1,4,3,3,1,2,3,3,4,2,3,1,3,2,3,3,2,3,3,1,2,2,2,1,4,3,2,2,2,1,1,1,2,3,1,3,3,2,3,3,3,2,3,2,1,2,3,2,3,2,1,2,3,1,3,1,2,2,2,3,4,4,4,4,3,4,4,4,4,4,3,1,3,1,2,3,1,3,3,3,3
2020-12-12,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,3,2,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,2,1,2,2,3,2,1,2,2,2,2,2,3,1,2,3,2,2,2,3,3,2,3,3,2,2,2,2,3,2,1,3,1,2,3,3,1,3,1,2,3,1,3,3,1,4,3,3,1,2,3,3,4,2,3,1,3,2,3,3,2,3,3,1,2,2,2,1,4,2,1,2,1,1,1,1,2,3,1,3,3,2,3,3,3,2,3,2,1,2,3,2,3,2,1,2,3,1,3,1,2,2,2,3,4,4,4,4,3,4,4,4,4,4,3,1,3,1,2,3,1,3,3,3,3
2020-12-13,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,3,2,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,2,1,2,2,3,2,1,2,2,2,2,2,3,1,2,3,2,2,2,3,3,2,3,3,2,2,2,2,3,2,1,3,1,2,3,3,1,3,1,2,3,1,3,3,1,4,3,3,1,2,3,3,4,2,3,1,3,2,3,3,2,3,3,1,2,2,2,1,4,2,1,2,1,1,1,1,2,3,1,3,3,2,3,3,3,2,3,2,1,2,3,2,3,2,1,2,3,1,3,1,2,2,2,3,4,4,4,4,3,4,4,4,4,4,3,1,3,1,2,3,1,3,3,3,3
2020-12-14,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,3,2,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,2,2,3,2,1,2,2,2,2,2,3,1,2,3,2,2,2,3,3,2,3,3,2,2,2,2,3,2,1,3,1,2,3,3,1,3,1,2,3,1,3,3,1,4,3,3,1,2,3,3,4,2,3,1,3,2,3,3,2,3,3,2,2,2,2,2,4,2,1,2,1,1,1,1,2,3,1,3,3,2,3,3,3,2,3,2,1,2,3,2,3,2,2,2,3,1,3,1,2,3,2,3,4,4,4,4,3,4,4,4,4,4,3,1,3,1,2,3,1,3,3,3,3
2020-12-15,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,3,2,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,2,2,3,2,1,2,2,2,2,2,3,1,2,3,2,2,2,3,3,2,3,3,2,2,2,2,3,2,1,3,1,2,3,3,1,3,1,2,3,1,3,3,1,4,3,3,1,2,3,3,4,2,3,1,3,2,3,3,2,3,3,2,2,2,2,2,4,2,1,2,1,1,1,1,2,3,1,3,3,2,3,3,3,2,3,2,1,2,3,2,3,2,2,2,3,1,3,1,2,3,2,3,4,4,4,4,3,4,4,4,4,4,3,1,3,1,2,3,1,3,3,3,3
2020-12-16,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,3,2,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,2,2,3,2,1,2,2,2,2,2,3,1,2,3,2,2,2,3,3,2,3,3,2,2,2,2,3,2,1,3,1,2,3,3,1,3,1,2,3,1,3,3,1,4,3,3,1,2,3,3,4,2,3,1,3,2,3,3,2,3,3,2,2,2,2,2,4,2,1,2,1,1,1,1,2,3,1,3,3,2,3,3,3,2,3,2,1,2,3,2,3,2,2,2,3,1,3,1,2,3,2,3,4,4,4,4,3,4,4,4,4,4,3,1,3,1,2,3,1,3,3,3,3
