Region,Arica y Parinacota,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,Metropolitana,O’Higgins,Maule,Ñuble,Biobío,Araucanía,Los Ríos,Los Lagos,Aysén,Magallanes,Total
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2
2020-03-05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2020-03-06,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2020-03-07,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2
2020-03-08,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3
2020-03-09,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,5
2020-03-10,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2
2020-03-11,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,6
2020-03-12,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,10
2020-03-13,0,0,0,0,0,0,6,0,1,1,2,0,0,0,0,0,10
2020-03-14,0,0,2,1,0,0,11,0,1,2,0,0,0,0,1,0,18
2020-03-15,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,14
2020-03-16,0,0,0,0,0,1,69,0,0,8,1,1,1,0,0,0,81
2020-03-17,0,0,0,0,0,0,29,0,0,14,0,0,0,0,0,2,45
2020-03-18,0,0,0,0,0,0,22,0,2,0,3,3,0,7,0,0,37
2020-03-19,1,0,0,0,2,3,73,2,3,2,7,3,0,8,0,0,104
2020-03-20,0,0,4,0,1,1,57,4,0,16,5,2,0,2,0,0,92
2020-03-21,0,0,4,0,0,8,55,1,1,14,11,6,0,2,0,1,103
2020-03-22,1,0,1,0,2,3,50,1,10,6,5,12,0,3,0,1,95
2020-03-23,0,1,0,0,1,3,50,0,3,17,11,13,3,10,0,2,114
2020-03-24,0,3,2,0,5,6,81,1,1,24,27,19,2,3,0,2,176
2020-03-25,0,0,6,0,1,7,142,2,1,6,22,15,5,8,0,5,220
2020-03-26,1,1,1,0,1,12,64,3,1,3,14,37,3,16,1,6,164
2020-03-27,0,0,1,0,1,5,192,2,1,30,26,32,8,3,0,3,304
2020-03-28,0,0,4,0,1,22,146,4,5,28,16,34,5,30,0,4,299
2020-03-29,1,1,2,1,3,9,83,1,5,25,34,28,13,11,0,13,230
2020-03-30,2,2,8,0,9,28,128,0,12,32,16,42,7,24,0,0,310
2020-03-31,0,2,0,0,1,7,125,2,8,16,15,55,11,23,0,24,289
2020-04-01,0,0,4,1,2,21,101,3,9,14,24,41,6,30,1,36,293
2020-04-02,1,2,8,0,4,20,115,6,11,82,35,46,4,22,2,15,373
2020-04-03,5,1,7,2,1,20,106,1,7,29,27,43,10,31,1,42,333
2020-04-04,0,4,1,0,9,9,215,5,8,31,45,45,11,25,0,16,424
2020-04-05,16,3,5,0,6,6,145,3,6,24,18,32,10,17,1,18,310
2020-04-06,13,1,8,0,1,7,142,1,5,49,18,53,5,10,0,31,344
2020-04-07,12,2,1,1,1,16,106,0,0,48,27,50,5,13,0,19,301
2020-04-08,10,3,8,2,4,11,198,1,11,39,29,57,5,26,0,26,430
2020-04-09,12,3,15,2,5,5,284,1,9,10,21,20,4,15,0,20,426
2020-04-10,12,6,18,3,0,11,361,0,3,18,14,23,6,9,0,45,529
2020-04-11,20,3,7,0,3,7,255,1,3,17,16,27,6,15,0,46,426
2020-04-12,8,8,21,0,2,6,151,1,4,7,10,36,5,8,0,19,286
2020-04-13,0,6,11,0,0,19,204,2,3,5,12,20,3,8,0,19,312
2020-04-14,5,10,6,0,0,12,283,5,1,4,16,21,10,5,0,14,392
2020-04-15,4,0,21,0,0,14,248,1,10,12,14,10,2,5,0,15,356
2020-04-16,5,4,16,0,2,31,348,0,15,5,17,56,3,9,0,23,534
2020-04-17,5,7,19,0,0,15,233,1,56,17,19,25,1,13,0,34,445
2020-04-18,8,8,15,0,0,14,277,0,53,11,28,37,2,4,0,21,478
2020-04-19,3,9,23,0,0,22,189,0,26,11,10,28,1,5,0,31,358
2020-04-20,16,3,14,0,1,7,262,1,2,9,10,73,5,3,0,13,419
2020-04-21,9,11,28,0,0,15,145,1,12,7,10,47,5,8,0,27,325
2020-04-22,10,10,35,0,1,18,295,2,12,9,22,21,4,13,0,12,464
2020-04-23,30,14,14,5,0,8,351,17,5,5,17,29,2,9,0,10,516
2020-04-24,29,6,26,3,2,7,327,5,16,7,8,42,1,6,0,9,494
2020-04-25,6,9,25,3,1,18,404,4,1,10,13,19,3,5,0,31,552
2020-04-26,7,13,52,5,0,6,331,7,4,6,7,13,1,8,0,13,473
2020-04-27,13,8,14,6,1,25,362,2,9,10,3,20,2,4,0,3,482
2020-04-28,3,5,24,0,0,8,442,3,21,6,3,15,0,0,0,22,552
2020-04-29,4,14,33,7,2,33,589,7,8,14,10,22,2,4,0,21,770
2020-04-30,7,15,32,1,0,33,736,4,1,7,8,20,7,6,0,11,888
2020-05-01,18,2,43,0,1,9,891,1,1,0,2,2,0,14,0,1,985
2020-05-02,10,12,90,16,1,46,1145,11,2,8,22,19,7,12,0,26,1427
2020-05-03,1,60,61,8,10,24,995,5,1,10,8,14,2,4,0,25,1228
2020-05-04,0,23,20,3,3,18,872,6,2,1,3,3,1,7,0,18,980
2020-05-05,7,27,51,8,6,31,1179,5,9,2,12,21,0,1,0,14,1317
2020-05-06,3,17,44,2,0,29,875,9,0,2,15,10,1,16,0,9,1032
2020-05-07,7,78,40,7,3,65,1246,6,6,2,25,23,2,4,1,18,1533
2020-05-08,2,42,28,1,11,47,1151,16,11,1,28,18,1,3,0,31,1391
2020-05-09,10,26,24,29,18,50,978,15,7,7,40,15,3,11,0,14,1247
2020-05-10,3,35,31,7,6,55,1396,13,9,11,17,36,0,16,0,12,1647
2020-05-11,11,27,36,9,5,37,964,21,13,2,33,12,2,17,0,8,1197
2020-05-12,0,31,95,1,8,59,1392,8,12,12,10,16,3,2,0,9,1658
2020-05-13,8,37,107,5,5,94,2256,24,19,13,33,13,1,34,0,11,2660
2020-05-14,4,67,61,1,12,90,2251,47,34,10,20,41,2,5,0,14,2659
