Casos,Pacientes VMI,Pacientes no VM,Pacientes VM no invasiva
2020-04-11,322.0,,
2020-04-12,328.0,,
2020-04-13,330.0,,
2020-04-14,315.0,,
2020-04-15,315.0,,
2020-04-16,313.0,,
2020-04-17,316.0,,
2020-04-18,296.0,,
2020-04-19,312.0,,
2020-04-20,296.0,,
2020-04-21,303.0,,
2020-04-22,309.0,,
2020-04-23,316.0,,
2020-04-24,325.0,,
2020-04-25,321.0,,
2020-04-26,319.0,,
2020-04-27,325.0,,
2020-04-28,317.0,,
2020-04-29,310.0,,
2020-04-30,323.0,,
2020-05-01,327.0,,
2020-05-02,324.0,,
2020-05-03,339.0,,
2020-05-04,354.0,,
2020-05-05,356.0,,
2020-05-06,385.0,,
2020-05-07,391.0,,
2020-05-08,419.0,,
2020-05-09,445.0,,
2020-05-10,470.0,,
2020-05-11,474.0,,
2020-05-12,494.0,,
2020-05-13,538.0,,
2020-05-14,555.0,,
2020-05-15,584.0,,
2020-05-16,624.0,,
2020-05-17,627.0,,
2020-05-18,670.0,,
2020-05-19,728.0,,
2020-05-20,758.0,,
2020-05-21,795.0,,
2020-05-22,850.0,,
2020-05-23,900.0,,
2020-05-24,942,116,32
2020-05-25,989,115,31
2020-05-26,1029,140,33
2020-05-27,1048,159,44
2020-05-28,1079,156,54
2020-05-29,1143,162,45
2020-05-30,1151,173,47
2020-05-31,1174,158,51
2020-06-01,1209,179,58
2020-06-02,1202,189,60
2020-06-03,1218,196,61
2020-06-04,1261,182,53
2020-06-05,1291,180,50
2020-06-06,1294,180,50
2020-06-07,1336,168,54
2020-06-08,1333,189,59
2020-06-09,1325,183,69
2020-06-10,1354,168,68
2020-06-11,1379,175,64
2020-06-12,1391,184,72
2020-06-13,1408,173,75
2020-06-14,1465,175,75
2020-06-15,1463,186,74
2020-06-16,1470,181,76
2020-06-17,1529,184,81
2020-06-18,1572,187,86
2020-06-19,1645,190,76
2020-06-20,1682,194,75
2020-06-21,1713,197,86
2020-06-22,1726,196,92
2020-06-23,1720,195,94
2020-06-24,1742,208,96
2020-06-25,1751,227,100
2020-06-26,1772,219,95
2020-06-27,1741,229,120
2020-06-28,1793,210,126
2020-06-29,1763,217,110
2020-06-30,1756,226,124
2020-07-01,1720,244,111
2020-07-02,1762,233,104
2020-07-03,1757,233,117
2020-07-04,1731,227,119
2020-07-05,1736,221,121
2020-07-06,1747,192,130
2020-07-07,1699,222,139
2020-07-08,1712,228,113
2020-07-09,1670,222,107
2020-07-10,1648,238,104
2020-07-11,1653,241,105
2020-07-12,1669,224,102
2020-07-13,1613,215,103
2020-07-14,1596,208,111
2020-07-15,1573,196,109
2020-07-16,1516,196,109
2020-07-17,1502,192,102
2020-07-18,1465,224,103
2020-07-19,1459,204,101
2020-07-20,1469,192,92
2020-07-21,1415,222,91
2020-07-22,1388,217,83
2020-07-23,1377,212,81
2020-07-24,1356,202,78
2020-07-25,1312,218,82
2020-07-26,1295,207,90
2020-07-27,1271,201,83
2020-07-28,1208,226,95
2020-07-29,1185,217,83
2020-07-30,1162,211,90
2020-07-31,1159,207,79
2020-08-01,1158,208,79
2020-08-02,1151,199,87
2020-08-03,1140,198,81
2020-08-04,1126,199,80
2020-08-05,1092,221,87
2020-08-06,1051,218,89
2020-08-07,1044,221,83
2020-08-08,1003,215,87
2020-08-09,978,211,87
2020-08-10,994,200,86
2020-08-11,986,201,81
2020-08-12,973,208,74
2020-08-13,962,229,68
2020-08-14,924,245,83
2020-08-15,899,231,77
2020-08-16,879,232,79
2020-08-17,869,221,87
2020-08-18,867,208,82
2020-08-19,833,209,78
2020-08-20,794,209,74
2020-08-21,781,212,79
2020-08-22,773,212,73
2020-08-23,742,213,72
2020-08-24,742,204,68
2020-08-25,745,193,73
2020-08-26,727,212,65
2020-08-27,740,207,65
2020-08-28,733,199,63
2020-08-29,708,183,68
2020-08-30,718,168,74
2020-08-31,735,159,75
2020-09-01,724,167,71
2020-09-02,686,180,81
2020-09-03,686,172,82
2020-09-04,672,178,82
2020-09-05,666,158,84
2020-09-06,679,150,80
2020-09-07,699,149,82
2020-09-08,703,138,89
2020-09-09,708,149,85
2020-09-10,697,170,84
2020-09-11,675,165,78
2020-09-12,672,164,72
2020-09-13,676,160,70
2020-09-14,689,153,64
2020-09-15,698,140,67
2020-09-16,654,155,89
2020-09-17,663,164,68
2020-09-18,675,162,65
2020-09-19,667,163,64
2020-09-20,675,162,64
2020-09-21,684,167,64
2020-09-22,685,167,66
2020-09-23,680,169,58
2020-09-24,673,162,55
2020-09-25,655,181,55
2020-09-26,653,186,56
2020-09-27,637,191,60
2020-09-28,645,185,54
2020-09-29,637,180,48
2020-09-30,630,160,59
2020-10-01,633,165,51
2020-10-02,660,157,51
2020-10-03,639,159,51
2020-10-04,638,168,50
2020-10-05,648,158,47
2020-10-06,645,157,45
2020-10-07,622,156,40
2020-10-08,610,158,44
2020-10-09,617,168,36
2020-10-10,609,163,45
2020-10-11,610,150,31
2020-10-12,611,145,29
2020-10-13,612,136,30
2020-10-14,615,143,27
2020-10-15,617,145,24
2020-10-16,625,144,25
2020-10-17,623,144,24
2020-10-18,602,142,32
2020-10-19,600,136,33
2020-10-20,604,132,34
2020-10-21,601,130,36
2020-10-22,603,125,31
2020-10-23,610,118,31
2020-10-24,591,109,29
2020-10-25,593,98,32
2020-10-26,610,91,29
2020-10-27,619,93,28
2020-10-28,612,108,25
2020-10-29,611,112,25
2020-10-30,617,120,27
2020-10-31,613,115,28
2020-11-01,606,108,29
2020-11-02,597,98,28
2020-11-03,590,107,30
2020-11-04,576,119,38
2020-11-05,568,124,33
2020-11-06,579,117,37
2020-11-07,584,114,36
2020-11-08,586,117,32
2020-11-09,577,121,31
2020-11-10,575,118,27
2020-11-11,122.0,,30.0
2020-11-12,115.0,,31.0
2020-11-13,590,111,32
2020-11-14,585,120,26
2020-11-15,571,119,31
2020-11-16,577,117,30
2020-11-17,582,119,29
2020-11-18,552,142,32
2020-11-19,552,130,33
2020-11-20,555,127,35
2020-11-21,552,123,37
2020-11-22,535,122,41
2020-11-23,544,121,39
2020-11-24,539,116,40
2020-11-25,540,123,37
2020-11-26,543,120,31
2020-11-27,545,118,30
2020-11-28,554,117,32
2020-11-29,545,116,32
2020-11-30,564,107,19
2020-12-01,575,104,16
2020-12-02,562,107,25
2020-12-03,542,114,31
2020-12-04,539,110,34
2020-12-05,518,107,39
2020-12-06,507,115,36
