Region,Codigo region,Publicacion,Semana Epidemiologica,Casos confirmados
Arica y Parinacota,15,2020-05-08,SE7,0.0
Tarapacá,01,2020-05-08,SE7,0.0
Antofagasta,02,2020-05-08,SE7,0.0
Atacama,03,2020-05-08,SE7,0.0
Coquimbo,04,2020-05-08,SE7,0.0
Valparaíso,05,2020-05-08,SE7,0.0
Metropolitana,13,2020-05-08,SE7,0.0
O’Higgins,06,2020-05-08,SE7,0.0
Maule,07,2020-05-08,SE7,0.0
Ñuble,16,2020-05-08,SE7,0.0
Biobío,08,2020-05-08,SE7,0.0
Araucanía,09,2020-05-08,SE7,0.0
Los Ríos,14,2020-05-08,SE7,0.0
Los Lagos,10,2020-05-08,SE7,0.0
Aysén,11,2020-05-08,SE7,0.0
Magallanes,12,2020-05-08,SE7,0.0
Arica y Parinacota,15,2020-06-23,SE7,0.0
Tarapacá,01,2020-06-23,SE7,0.0
Antofagasta,02,2020-06-23,SE7,0.0
Atacama,03,2020-06-23,SE7,0.0
Coquimbo,04,2020-06-23,SE7,0.0
Valparaíso,05,2020-06-23,SE7,0.0
Metropolitana,13,2020-06-23,SE7,0.0
O’Higgins,06,2020-06-23,SE7,0.0
Maule,07,2020-06-23,SE7,0.0
Ñuble,16,2020-06-23,SE7,0.0
Biobío,08,2020-06-23,SE7,0.0
Araucanía,09,2020-06-23,SE7,0.0
Los Ríos,14,2020-06-23,SE7,0.0
Los Lagos,10,2020-06-23,SE7,0.0
Aysén,11,2020-06-23,SE7,0.0
Magallanes,12,2020-06-23,SE7,0.0
Desconocido SEREMI,0,2020-06-23,SE7,0.0
Arica y Parinacota,15,2020-05-04,SE7,0.0
Tarapacá,01,2020-05-04,SE7,0.0
Antofagasta,02,2020-05-04,SE7,0.0
Atacama,03,2020-05-04,SE7,0.0
Coquimbo,04,2020-05-04,SE7,0.0
Valparaíso,05,2020-05-04,SE7,0.0
Metropolitana,13,2020-05-04,SE7,0.0
O’Higgins,06,2020-05-04,SE7,0.0
Maule,07,2020-05-04,SE7,0.0
Ñuble,16,2020-05-04,SE7,0.0
Biobío,08,2020-05-04,SE7,0.0
Araucanía,09,2020-05-04,SE7,0.0
Los Ríos,14,2020-05-04,SE7,0.0
Los Lagos,10,2020-05-04,SE7,0.0
Aysén,11,2020-05-04,SE7,0.0
Magallanes,12,2020-05-04,SE7,0.0
Arica y Parinacota,15,2020-05-29,SE7,0.0
Tarapacá,01,2020-05-29,SE7,0.0
Antofagasta,02,2020-05-29,SE7,0.0
Atacama,03,2020-05-29,SE7,0.0
Coquimbo,04,2020-05-29,SE7,0.0
Valparaíso,05,2020-05-29,SE7,0.0
Metropolitana,13,2020-05-29,SE7,0.0
O’Higgins,06,2020-05-29,SE7,0.0
