Sintomas,Cefalea,Tos,Mialgia,Fiebre,Odinofagia,Anosmia,Ageusia,Disnea,Diarrea,Dolor torácico,Dolor abdominal,Taquipnea,Cianosis,Postración,Congestión nasal,Cefalea,Tos,Mialgia,Fiebre,Odinofagia,Anosmia,Ageusia,Disnea,Diarrea,Dolor torácico,Dolor abdominal,Taquipnea,Cianosis,Postración,Congestión nasal
Hospitalización,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
2020-03-11,8,11,6,9,7,,,2,,5,,,,,2,,,,,,,,,,,,,,,
2020-03-14,18,25,19,21,20,,,3,,6,,,,,6,,,,,,,,,,,,,,,
2020-03-15,29,38,28,30,27,,,6,,7,,,,,10,,,,,,,,,,,,,,,
2020-03-16,31,43,34,35,33,,,7,,7,,,,,12,,,,,,,,,,,,,,,
2020-03-24,394,597,452,496,407,,,78,,41,16,16,1,5,,,,,,,,,,,,,,,,
2020-03-25,,,,,,,,,,,,,,,,48,103,71,98,48,,,34,7,11,3,10,3,1,
2020-03-26,578,896,689,738,575,,,139,55,64,26,27,3,5,,60,129,88,122,54,,,49,11,16,4,15,3,1,
2020-03-27,671,1030,793,866,663,,,171,73,77,33,31,4,5,,65,147,97,141,63,,,62,13,17,4,18,4,1,
2020-03-28,836,1231,966,1053,768,,,217,105,93,47,42,4,6,,83,173,116,171,75,,,80,18,22,7,25,4,1,
2020-03-29,945,1359,1064,1148,843,,,247,121,109,50,51,6,9,,86,180,118,178,80,,,86,19,23,7,27,4,1,
2020-03-30,1057,1495,1184,1257,927,,,297,142,123,60,62,9,,,95,200,132,195,87,,,99,23,26,9,33,6,,
2020-03-31,1232,1714,1349,1440,1047,,,353,172,140,73,80,9,,,115,234,154,231,100,,,120,28,32,12,39,6,,
2020-04-01,1448,1992,1553,1657,1191,,,426,207,172,92,99,10,,,133,273,174,264,112,,,141,37,34,16,48,7,,
2020-04-02,1557,2136,1656,1757,1275,,,465,237,189,102,107,10,,,139,284,181,274,118,,,149,41,36,17,52,7,,
2020-04-03,1813,2359,1923,2007,1476,,,559,281,231,131,128,15,,,166,318,212,320,144,,,176,50,46,21,61,10,,
