Sintomas,Hospitalización,fecha,numero
Cefalea,NO,2020-03-11,8
Tos,NO,2020-03-11,11
Mialgia,NO,2020-03-11,6
Fiebre,NO,2020-03-11,9
Odinofagia,NO,2020-03-11,7
Anosmia,NO,2020-03-11,
Ageusia,NO,2020-03-11,
Disnea,NO,2020-03-11,2
Diarrea,NO,2020-03-11,
Dolor torácico,NO,2020-03-11,5
Dolor abdominal,NO,2020-03-11,
Taquipnea,NO,2020-03-11,
Cianosis,NO,2020-03-11,
Postración,NO,2020-03-11,
Congestión nasal,NO,2020-03-11,2
Cefalea,SI,2020-03-11,
Tos,SI,2020-03-11,
Mialgia,SI,2020-03-11,
Fiebre,SI,2020-03-11,
Odinofagia,SI,2020-03-11,
Anosmia,SI,2020-03-11,
Ageusia,SI,2020-03-11,
Disnea,SI,2020-03-11,
Diarrea,SI,2020-03-11,
Dolor torácico,SI,2020-03-11,
Dolor abdominal,SI,2020-03-11,
Taquipnea,SI,2020-03-11,
Cianosis,SI,2020-03-11,
Postración,SI,2020-03-11,
Congestión nasal,SI,2020-03-11,
Cefalea,NO,2020-03-14,18
Tos,NO,2020-03-14,25
Mialgia,NO,2020-03-14,19
Fiebre,NO,2020-03-14,21
Odinofagia,NO,2020-03-14,20
Anosmia,NO,2020-03-14,
Ageusia,NO,2020-03-14,
Disnea,NO,2020-03-14,3
Diarrea,NO,2020-03-14,
Dolor torácico,NO,2020-03-14,6
Dolor abdominal,NO,2020-03-14,
Taquipnea,NO,2020-03-14,
Cianosis,NO,2020-03-14,
Postración,NO,2020-03-14,
Congestión nasal,NO,2020-03-14,6
Cefalea,SI,2020-03-14,
Tos,SI,2020-03-14,
Mialgia,SI,2020-03-14,
Fiebre,SI,2020-03-14,
Odinofagia,SI,2020-03-14,
Anosmia,SI,2020-03-14,
Ageusia,SI,2020-03-14,
Disnea,SI,2020-03-14,
Diarrea,SI,2020-03-14,
Dolor torácico,SI,2020-03-14,
Dolor abdominal,SI,2020-03-14,
Taquipnea,SI,2020-03-14,
Cianosis,SI,2020-03-14,
Postración,SI,2020-03-14,
Congestión nasal,SI,2020-03-14,
Cefalea,NO,2020-03-15,29
Tos,NO,2020-03-15,38
Mialgia,NO,2020-03-15,28
Fiebre,NO,2020-03-15,30
Odinofagia,NO,2020-03-15,27
Anosmia,NO,2020-03-15,
Ageusia,NO,2020-03-15,
Disnea,NO,2020-03-15,6
Diarrea,NO,2020-03-15,
Dolor torácico,NO,2020-03-15,7
Dolor abdominal,NO,2020-03-15,
Taquipnea,NO,2020-03-15,
Cianosis,NO,2020-03-15,
Postración,NO,2020-03-15,
Congestión nasal,NO,2020-03-15,10
Cefalea,SI,2020-03-15,
Tos,SI,2020-03-15,
Mialgia,SI,2020-03-15,
Fiebre,SI,2020-03-15,
Odinofagia,SI,2020-03-15,
Anosmia,SI,2020-03-15,
Ageusia,SI,2020-03-15,
Disnea,SI,2020-03-15,
Diarrea,SI,2020-03-15,
Dolor torácico,SI,2020-03-15,
Dolor abdominal,SI,2020-03-15,
Taquipnea,SI,2020-03-15,
Cianosis,SI,2020-03-15,
Postración,SI,2020-03-15,
Congestión nasal,SI,2020-03-15,
Cefalea,NO,2020-03-16,31
Tos,NO,2020-03-16,43
Mialgia,NO,2020-03-16,34
Fiebre,NO,2020-03-16,35
Odinofagia,NO,2020-03-16,33
Anosmia,NO,2020-03-16,
Ageusia,NO,2020-03-16,
Disnea,NO,2020-03-16,7
Diarrea,NO,2020-03-16,
Dolor torácico,NO,2020-03-16,7
Dolor abdominal,NO,2020-03-16,
Taquipnea,NO,2020-03-16,
Cianosis,NO,2020-03-16,
Postración,NO,2020-03-16,
Congestión nasal,NO,2020-03-16,12
Cefalea,SI,2020-03-16,
Tos,SI,2020-03-16,
Mialgia,SI,2020-03-16,
Fiebre,SI,2020-03-16,
Odinofagia,SI,2020-03-16,
Anosmia,SI,2020-03-16,
Ageusia,SI,2020-03-16,
Disnea,SI,2020-03-16,
Diarrea,SI,2020-03-16,
Dolor torácico,SI,2020-03-16,
Dolor abdominal,SI,2020-03-16,
