Region,Codigo region,region_residencia,fecha,positividad
,nan,0,2020-03-20,
,nan,0,2020-03-21,
,nan,0,2020-03-22,
,nan,0,2020-03-23,
,nan,0,2020-03-24,
,nan,0,2020-03-25,
,nan,0,2020-03-26,0.015782239047573036
,nan,0,2020-03-27,0.015284142766344225
,nan,0,2020-03-28,0.014093666575868037
,nan,0,2020-03-29,0.003889584943214975
,nan,0,2020-03-30,0.003889584943214975
,nan,0,2020-03-31,0.0028728081257264142
,nan,0,2020-04-01,
,nan,0,2020-04-02,
,nan,0,2020-04-03,
,nan,0,2020-04-04,
,nan,0,2020-04-05,
,nan,0,2020-04-06,
,nan,0,2020-04-07,
,nan,0,2020-04-08,0.0
,nan,0,2020-04-09,0.0
,nan,0,2020-04-10,0.047619047619047616
,nan,0,2020-04-11,0.047619047619047616
,nan,0,2020-04-12,0.047619047619047616
,nan,0,2020-04-13,0.047619047619047616
,nan,0,2020-04-14,0.047619047619047616
,nan,0,2020-04-15,0.11904761904761905
,nan,0,2020-04-16,0.11904761904761905
,nan,0,2020-04-17,0.07142857142857142
,nan,0,2020-04-18,0.07142857142857142
,nan,0,2020-04-19,0.07142857142857142
,nan,0,2020-04-20,0.07575757575757576
,nan,0,2020-04-21,
,nan,0,2020-04-22,
,nan,0,2020-04-23,
,nan,0,2020-04-24,
,nan,0,2020-04-25,
,nan,0,2020-04-26,
,nan,0,2020-04-27,
,nan,0,2020-04-28,
,nan,0,2020-04-29,
,nan,0,2020-04-30,
,nan,0,2020-05-01,
,nan,0,2020-05-02,
,nan,0,2020-05-03,
,nan,0,2020-05-04,0.3246753246753247
,nan,0,2020-05-05,0.3253896103896104
,nan,0,2020-05-06,0.25695804195804195
,nan,0,2020-05-07,0.19067747567747567
,nan,0,2020-05-08,0.2716298566298566
,nan,0,2020-05-09,0.3668679518679519
,nan,0,2020-05-10,0.31924890424890423
,nan,0,2020-05-11,0.3619205183490898
,nan,0,2020-05-12,0.5040633754919469
,nan,0,2020-05-13,0.6439235153520868
,nan,0,2020-05-14,0.710204081632653
,nan,0,2020-05-15,0.7244897959183674
,nan,0,2020-05-16,0.5816326530612245
,nan,0,2020-05-17,
