Fabricante,Total,Total,Pfizer,Pfizer,Sinovac,Sinovac,CanSino,CanSino,Astra-Zeneca,Astra-Zeneca
Dosis,Primera,Segunda,Primera,Segunda,Primera,Segunda,Primera,Segunda,Primera,Segunda
2020-12-24,420,0,420,0,0,0,0,0,0,0
2020-12-25,5198,0,5198,0,0,0,0,0,0,0
2020-12-26,8341,0,8341,0,0,0,0,0,0,0
2020-12-27,8652,0,8652,0,0,0,0,0,0,0
2020-12-28,8652,0,8652,0,0,0,0,0,0,0
2020-12-29,8652,0,8652,0,0,0,0,0,0,0
2020-12-30,8652,0,8652,0,0,0,0,0,0,0
2020-12-31,8652,0,8652,0,0,0,0,0,0,0
2021-01-01,8652,0,8652,0,0,0,0,0,0,0
2021-01-02,8652,0,8652,0,0,0,0,0,0,0
2021-01-03,8652,0,8652,0,0,0,0,0,0,0
2021-01-04,9057,0,9057,0,0,0,0,0,0,0
2021-01-05,10500,0,10500,0,0,0,0,0,0,0
2021-01-06,10705,0,10705,0,0,0,0,0,0,0
2021-01-07,10705,0,10705,0,0,0,0,0,0,0
2021-01-08,10705,0,10705,0,0,0,0,0,0,0
2021-01-09,10705,0,10705,0,0,0,0,0,0,0
2021-01-10,10705,0,10705,0,0,0,0,0,0,0
2021-01-11,10705,0,10705,0,0,0,0,0,0,0
2021-01-12,10705,0,10705,0,0,0,0,0,0,0
2021-01-13,10706,1032,10706,1032,0,0,0,0,0,0
2021-01-14,12824,5828,12824,5828,0,0,0,0,0,0
2021-01-15,13781,8302,13781,8302,0,0,0,0,0,0
2021-01-16,13804,8369,13804,8369,0,0,0,0,0,0
2021-01-17,13804,8369,13804,8369,0,0,0,0,0,0
2021-01-18,24844,8369,24844,8369,0,0,0,0,0,0
2021-01-19,44199,8370,44199,8370,0,0,0,0,0,0
2021-01-20,53504,8370,53504,8370,0,0,0,0,0,0
2021-01-21,56562,8370,56562,8370,0,0,0,0,0,0
2021-01-22,56974,8370,56974,8370,0,0,0,0,0,0
2021-01-23,56974,8370,56974,8370,0,0,0,0,0,0
2021-01-24,56974,8370,56974,8370,0,0,0,0,0,0
2021-01-25,56991,9773,56991,9773,0,0,0,0,0,0
2021-01-26,57012,10368,57012,10368,0,0,0,0,0,0
2021-01-27,57013,10402,57013,10402,0,0,0,0,0,0
2021-01-28,57013,10402,57013,10402,0,0,0,0,0,0
2021-01-29,57013,10407,57013,10407,0,0,0,0,0,0
2021-01-30,57014,10407,57014,10407,0,0,0,0,0,0
2021-01-31,57014,10407,57014,10407,0,0,0,0,0,0
2021-02-01,57014,10407,57014,10407,0,0,0,0,0,0
2021-02-02,70195,10413,57014,10413,13181,0,0,0,0,0
2021-02-03,240558,10413,57014,10413,183544,0,0,0,0,0
2021-02-04,414583,12521,57034,12521,357549,0,0,0,0,0
2021-02-05,583280,13191,57052,13191,526228,0,0,0,0,0
