Region,Dosis,Fecha,Cantidad
Total,Primera,2020-12-24,420
Total,Segunda,2020-12-24,0
Arica y Parinacota,Primera,2020-12-24,0
Arica y Parinacota,Segunda,2020-12-24,0
Tarapacá,Primera,2020-12-24,0
Tarapacá,Segunda,2020-12-24,0
Antofagasta,Primera,2020-12-24,0
Antofagasta,Segunda,2020-12-24,0
Atacama,Primera,2020-12-24,0
Atacama,Segunda,2020-12-24,0
Coquimbo,Primera,2020-12-24,0
Coquimbo,Segunda,2020-12-24,0
Valparaíso,Primera,2020-12-24,0
Valparaíso,Segunda,2020-12-24,0
Metropolitana,Primera,2020-12-24,420
Metropolitana,Segunda,2020-12-24,0
O’Higgins,Primera,2020-12-24,0
O’Higgins,Segunda,2020-12-24,0
Maule,Primera,2020-12-24,0
Maule,Segunda,2020-12-24,0
Ñuble,Primera,2020-12-24,0
Ñuble,Segunda,2020-12-24,0
Biobío,Primera,2020-12-24,0
Biobío,Segunda,2020-12-24,0
Araucanía,Primera,2020-12-24,0
Araucanía,Segunda,2020-12-24,0
Los Ríos,Primera,2020-12-24,0
Los Ríos,Segunda,2020-12-24,0
Los Lagos,Primera,2020-12-24,0
Los Lagos,Segunda,2020-12-24,0
Aysén,Primera,2020-12-24,0
Aysén,Segunda,2020-12-24,0
Magallanes,Primera,2020-12-24,0
Magallanes,Segunda,2020-12-24,0
Total,Primera,2020-12-25,5199
Total,Segunda,2020-12-25,0
Arica y Parinacota,Primera,2020-12-25,0
Arica y Parinacota,Segunda,2020-12-25,0
Tarapacá,Primera,2020-12-25,0
Tarapacá,Segunda,2020-12-25,0
Antofagasta,Primera,2020-12-25,0
Antofagasta,Segunda,2020-12-25,0
Atacama,Primera,2020-12-25,0
Atacama,Segunda,2020-12-25,0
Coquimbo,Primera,2020-12-25,0
Coquimbo,Segunda,2020-12-25,0
Valparaíso,Primera,2020-12-25,0
Valparaíso,Segunda,2020-12-25,0
Metropolitana,Primera,2020-12-25,2935
Metropolitana,Segunda,2020-12-25,0
O’Higgins,Primera,2020-12-25,0
O’Higgins,Segunda,2020-12-25,0
Maule,Primera,2020-12-25,0
Maule,Segunda,2020-12-25,0
Ñuble,Primera,2020-12-25,0
Ñuble,Segunda,2020-12-25,0
Biobío,Primera,2020-12-25,1388
Biobío,Segunda,2020-12-25,0
Araucanía,Primera,2020-12-25,711
Araucanía,Segunda,2020-12-25,0
Los Ríos,Primera,2020-12-25,0
Los Ríos,Segunda,2020-12-25,0
Los Lagos,Primera,2020-12-25,0
Los Lagos,Segunda,2020-12-25,0
Aysén,Primera,2020-12-25,0
Aysén,Segunda,2020-12-25,0
Magallanes,Primera,2020-12-25,165
Magallanes,Segunda,2020-12-25,0
Total,Primera,2020-12-26,8339
Total,Segunda,2020-12-26,0
Arica y Parinacota,Primera,2020-12-26,0
Arica y Parinacota,Segunda,2020-12-26,0
Tarapacá,Primera,2020-12-26,0
Tarapacá,Segunda,2020-12-26,0
Antofagasta,Primera,2020-12-26,0
Antofagasta,Segunda,2020-12-26,0
Atacama,Primera,2020-12-26,0
Atacama,Segunda,2020-12-26,0
Coquimbo,Primera,2020-12-26,0
Coquimbo,Segunda,2020-12-26,0
Valparaíso,Primera,2020-12-26,0
Valparaíso,Segunda,2020-12-26,0
Metropolitana,Primera,2020-12-26,5419
Metropolitana,Segunda,2020-12-26,0
O’Higgins,Primera,2020-12-26,0
O’Higgins,Segunda,2020-12-26,0
Maule,Primera,2020-12-26,0
Maule,Segunda,2020-12-26,0
Ñuble,Primera,2020-12-26,0
Ñuble,Segunda,2020-12-26,0
Biobío,Primera,2020-12-26,2044
Biobío,Segunda,2020-12-26,0
Araucanía,Primera,2020-12-26,711
Araucanía,Segunda,2020-12-26,0
Los Ríos,Primera,2020-12-26,0
Los Ríos,Segunda,2020-12-26,0
Los Lagos,Primera,2020-12-26,0
Los Lagos,Segunda,2020-12-26,0
Aysén,Primera,2020-12-26,0
Aysén,Segunda,2020-12-26,0
Magallanes,Primera,2020-12-26,165
Magallanes,Segunda,2020-12-26,0
Total,Primera,2020-12-27,8650
Total,Segunda,2020-12-27,0
Arica y Parinacota,Primera,2020-12-27,0
Arica y Parinacota,Segunda,2020-12-27,0
Tarapacá,Primera,2020-12-27,0
Tarapacá,Segunda,2020-12-27,0
Antofagasta,Primera,2020-12-27,0
Antofagasta,Segunda,2020-12-27,0
Atacama,Primera,2020-12-27,0
Atacama,Segunda,2020-12-27,0
Coquimbo,Primera,2020-12-27,0
Coquimbo,Segunda,2020-12-27,0
Valparaíso,Primera,2020-12-27,0
Valparaíso,Segunda,2020-12-27,0
Metropolitana,Primera,2020-12-27,5715
Metropolitana,Segunda,2020-12-27,0
O’Higgins,Primera,2020-12-27,0
O’Higgins,Segunda,2020-12-27,0
Maule,Primera,2020-12-27,0
Maule,Segunda,2020-12-27,0
Ñuble,Primera,2020-12-27,0
Ñuble,Segunda,2020-12-27,0
Biobío,Primera,2020-12-27,2059
Biobío,Segunda,2020-12-27,0
Araucanía,Primera,2020-12-27,711
Araucanía,Segunda,2020-12-27,0
Los Ríos,Primera,2020-12-27,0
Los Ríos,Segunda,2020-12-27,0
Los Lagos,Primera,2020-12-27,0
Los Lagos,Segunda,2020-12-27,0
Aysén,Primera,2020-12-27,0
Aysén,Segunda,2020-12-27,0
Magallanes,Primera,2020-12-27,165
Magallanes,Segunda,2020-12-27,0
Total,Primera,2020-12-28,8650
Total,Segunda,2020-12-28,0
Arica y Parinacota,Primera,2020-12-28,0
Arica y Parinacota,Segunda,2020-12-28,0
Tarapacá,Primera,2020-12-28,0
Tarapacá,Segunda,2020-12-28,0
Antofagasta,Primera,2020-12-28,0
Antofagasta,Segunda,2020-12-28,0
Atacama,Primera,2020-12-28,0
Atacama,Segunda,2020-12-28,0
Coquimbo,Primera,2020-12-28,0
Coquimbo,Segunda,2020-12-28,0
Valparaíso,Primera,2020-12-28,0
Valparaíso,Segunda,2020-12-28,0
Metropolitana,Primera,2020-12-28,5715
Metropolitana,Segunda,2020-12-28,0
O’Higgins,Primera,2020-12-28,0
O’Higgins,Segunda,2020-12-28,0
Maule,Primera,2020-12-28,0
Maule,Segunda,2020-12-28,0
Ñuble,Primera,2020-12-28,0
Ñuble,Segunda,2020-12-28,0
Biobío,Primera,2020-12-28,2059
Biobío,Segunda,2020-12-28,0
Araucanía,Primera,2020-12-28,711
Araucanía,Segunda,2020-12-28,0
Los Ríos,Primera,2020-12-28,0
Los Ríos,Segunda,2020-12-28,0
Los Lagos,Primera,2020-12-28,0
Los Lagos,Segunda,2020-12-28,0
Aysén,Primera,2020-12-28,0
Aysén,Segunda,2020-12-28,0
Magallanes,Primera,2020-12-28,165
Magallanes,Segunda,2020-12-28,0
Total,Primera,2020-12-29,8650
Total,Segunda,2020-12-29,0
Arica y Parinacota,Primera,2020-12-29,0
Arica y Parinacota,Segunda,2020-12-29,0
Tarapacá,Primera,2020-12-29,0
Tarapacá,Segunda,2020-12-29,0
Antofagasta,Primera,2020-12-29,0
Antofagasta,Segunda,2020-12-29,0
Atacama,Primera,2020-12-29,0
Atacama,Segunda,2020-12-29,0
Coquimbo,Primera,2020-12-29,0
Coquimbo,Segunda,2020-12-29,0
Valparaíso,Primera,2020-12-29,0
Valparaíso,Segunda,2020-12-29,0
Metropolitana,Primera,2020-12-29,5715
Metropolitana,Segunda,2020-12-29,0
O’Higgins,Primera,2020-12-29,0
O’Higgins,Segunda,2020-12-29,0
Maule,Primera,2020-12-29,0
Maule,Segunda,2020-12-29,0
Ñuble,Primera,2020-12-29,0
Ñuble,Segunda,2020-12-29,0
Biobío,Primera,2020-12-29,2059
Biobío,Segunda,2020-12-29,0
Araucanía,Primera,2020-12-29,711
Araucanía,Segunda,2020-12-29,0
Los Ríos,Primera,2020-12-29,0
Los Ríos,Segunda,2020-12-29,0
Los Lagos,Primera,2020-12-29,0
Los Lagos,Segunda,2020-12-29,0
Aysén,Primera,2020-12-29,0
Aysén,Segunda,2020-12-29,0
Magallanes,Primera,2020-12-29,165
Magallanes,Segunda,2020-12-29,0
Total,Primera,2020-12-30,8650
Total,Segunda,2020-12-30,0
Arica y Parinacota,Primera,2020-12-30,0
Arica y Parinacota,Segunda,2020-12-30,0
Tarapacá,Primera,2020-12-30,0
Tarapacá,Segunda,2020-12-30,0
Antofagasta,Primera,2020-12-30,0
Antofagasta,Segunda,2020-12-30,0
Atacama,Primera,2020-12-30,0
Atacama,Segunda,2020-12-30,0
Coquimbo,Primera,2020-12-30,0
Coquimbo,Segunda,2020-12-30,0
Valparaíso,Primera,2020-12-30,0
Valparaíso,Segunda,2020-12-30,0
Metropolitana,Primera,2020-12-30,5715
Metropolitana,Segunda,2020-12-30,0
O’Higgins,Primera,2020-12-30,0
O’Higgins,Segunda,2020-12-30,0
Maule,Primera,2020-12-30,0
Maule,Segunda,2020-12-30,0
Ñuble,Primera,2020-12-30,0
Ñuble,Segunda,2020-12-30,0
Biobío,Primera,2020-12-30,2059
Biobío,Segunda,2020-12-30,0
Araucanía,Primera,2020-12-30,711
Araucanía,Segunda,2020-12-30,0
Los Ríos,Primera,2020-12-30,0
Los Ríos,Segunda,2020-12-30,0
Los Lagos,Primera,2020-12-30,0
Los Lagos,Segunda,2020-12-30,0
Aysén,Primera,2020-12-30,0
Aysén,Segunda,2020-12-30,0
Magallanes,Primera,2020-12-30,165
Magallanes,Segunda,2020-12-30,0
Total,Primera,2020-12-31,8650
Total,Segunda,2020-12-31,0
Arica y Parinacota,Primera,2020-12-31,0
Arica y Parinacota,Segunda,2020-12-31,0
