REGION_CORTO;COD_COMUNA_FINAL;FECHA_INMUNIZACION;SUM_of_SUM_of_1aDOSIS;SUM_of_SUM_of_2aDOSIS;SUM_of_SUM_of_ÚnicaDOSIS;SUM_of_Refuerzo_DOSIS
Metropolitana  Santiago;13101;24/12/2020;280;;;
Metropolitana  Santiago;13108;24/12/2020;70;;;
Metropolitana  Santiago;13123;24/12/2020;70;;;
Bíobío;8101;25/12/2020;407;;;
Bíobío;8107;25/12/2020;45;;;
Bíobío;8110;25/12/2020;285;;;
Bíobío;8111;25/12/2020;50;;;
Bíobío;8112;25/12/2020;87;;;
Bíobío;8205;25/12/2020;35;;;
Bíobío;8301;25/12/2020;480;;;
" La Araucanía";9101;25/12/2020;370;;;
" La Araucanía";9108;25/12/2020;35;;;
" La Araucanía";9111;25/12/2020;60;;;
" La Araucanía";9112;25/12/2020;35;;;
" La Araucanía";9114;25/12/2020;75;;;
" La Araucanía";9201;25/12/2020;90;;;
" La Araucanía";9211;25/12/2020;45;;;
" Magallanes y  La Antártica Chilena";12101;25/12/2020;145;;;
" Magallanes y  La Antártica Chilena";12401;25/12/2020;20;;;
Metropolitana  Santiago;13101;25/12/2020;509;;;
Metropolitana  Santiago;13106;25/12/2020;55;;;
Metropolitana  Santiago;13108;25/12/2020;236;;;
Metropolitana  Santiago;13110;25/12/2020;115;;;
Metropolitana  Santiago;13113;25/12/2020;110;;;
Metropolitana  Santiago;13114;25/12/2020;95;;;
Metropolitana  Santiago;13119;25/12/2020;90;;;
Metropolitana  Santiago;13120;25/12/2020;75;;;
Metropolitana  Santiago;13122;25/12/2020;20;;;
Metropolitana  Santiago;13123;25/12/2020;669;;;
Metropolitana  Santiago;13127;25/12/2020;160;;;
Metropolitana  Santiago;13130;25/12/2020;90;;;
Metropolitana  Santiago;13131;25/12/2020;35;;;
Metropolitana  Santiago;13132;25/12/2020;54;;;
Metropolitana  Santiago;13201;25/12/2020;65;;;
Metropolitana  Santiago;13401;25/12/2020;90;;;
Metropolitana  Santiago;13601;25/12/2020;50;;;
Bíobío;8101;26/12/2020;436;;;
Bíobío;8110;26/12/2020;125;;;
Bíobío;8205;26/12/2020;50;;;
Bíobío;8301;26/12/2020;45;;;
Metropolitana  Santiago;13101;26/12/2020;389;;;
Metropolitana  Santiago;13106;26/12/2020;135;;;
Metropolitana  Santiago;13108;26/12/2020;85;;;
Metropolitana  Santiago;13110;26/12/2020;120;;;
Metropolitana  Santiago;13113;26/12/2020;190;;;
Metropolitana  Santiago;13114;26/12/2020;90;;;
Metropolitana  Santiago;13119;26/12/2020;75;;;
Metropolitana  Santiago;13123;26/12/2020;423;;;
Metropolitana  Santiago;13126;26/12/2020;100;;;
Metropolitana  Santiago;13127;26/12/2020;110;;;
Metropolitana  Santiago;13130;26/12/2020;125;;;
Metropolitana  Santiago;13131;26/12/2020;66;;;
Metropolitana  Santiago;13132;26/12/2020;145;;;
Metropolitana  Santiago;13201;26/12/2020;259;;;
Metropolitana  Santiago;13401;26/12/2020;135;;;
Metropolitana  Santiago;13601;26/12/2020;40;;;
Bíobío;8205;27/12/2020;15;;;
Metropolitana  Santiago;13101;27/12/2020;50;;;
Metropolitana  Santiago;13114;27/12/2020;55;;;
Metropolitana  Santiago;13126;27/12/2020;26;;;
Metropolitana  Santiago;13130;27/12/2020;15;;;
Metropolitana  Santiago;13132;27/12/2020;138;;;
Metropolitana  Santiago;13401;27/12/2020;10;;;
Maule;7101;04/01/2021;125;;;
Maule;7301;04/01/2021;70;;;
Maule;7401;04/01/2021;35;;;
Metropolitana  Santiago;13122;04/01/2021;55;;;
Metropolitana  Santiago;13501;04/01/2021;50;;;
" Los Ríos";14101;04/01/2021;70;;;
" Tarapacá";1101;05/01/2021;120;;;
" Valparaíso";5101;05/01/2021;145;;;
" Valparaíso";5109;05/01/2021;235;;;
" Valparaíso";5501;05/01/2021;85;;;
" Valparaíso";5701;05/01/2021;60;;;
" Valparaíso";5801;05/01/2021;75;;;
Maule;7101;05/01/2021;124;;;
Maule;7301;05/01/2021;85;;;
Maule;7401;05/01/2021;64;;;
" Los Lagos";10101;05/01/2021;140;;;
" Los Lagos";10201;05/01/2021;60;;;
" Los Lagos";10202;05/01/2021;10;;;
" Los Lagos";10301;05/01/2021;165;;;
" Los Ríos";14101;05/01/2021;75;;;
" Tarapacá";1101;06/01/2021;40;;;
" Los Lagos";10101;06/01/2021;165;;;
" Coquimbo";4102;08/01/2021;1;;;
" Valparaíso";5109;10/01/2021;1;;;
Bíobío;8101;13/01/2021;;1;;
" Magallanes y  La Antártica Chilena";12101;13/01/2021;1;132;;
Metropolitana  Santiago;13101;13/01/2021;;355;;
Metropolitana  Santiago;13108;13/01/2021;;25;;
Metropolitana  Santiago;13113;13/01/2021;;65;;
Metropolitana  Santiago;13120;13/01/2021;;70;;
Metropolitana  Santiago;13122;13/01/2021;;20;;
Metropolitana  Santiago;13123;13/01/2021;;278;;
Metropolitana  Santiago;13127;13/01/2021;;86;;
" Valparaíso";5101;14/01/2021;135;;;
" Valparaíso";5109;14/01/2021;389;;;
" Valparaíso";5301;14/01/2021;120;;;
" Valparaíso";5601;14/01/2021;110;;;
" Valparaíso";5801;14/01/2021;70;;;
Bíobío;8101;14/01/2021;2;454;;
Bíobío;8107;14/01/2021;;45;;
Bíobío;8110;14/01/2021;5;266;;
Bíobío;8111;14/01/2021;;20;;
Bíobío;8112;14/01/2021;;85;;
Bíobío;8205;14/01/2021;4;46;;
Bíobío;8301;14/01/2021;22;504;;
" La Araucanía";9101;14/01/2021;5;365;;
" La Araucanía";9108;14/01/2021;1;34;;
" La Araucanía";9111;14/01/2021;;60;;
" La Araucanía";9112;14/01/2021;;34;;
" La Araucanía";9114;14/01/2021;;75;;
" La Araucanía";9201;14/01/2021;4;86;;
" La Araucanía";9211;14/01/2021;1;43;;
" Magallanes y  La Antártica Chilena";12101;14/01/2021;;5;;
" Magallanes y  La Antártica Chilena";12401;14/01/2021;;20;;
Metropolitana  Santiago;13101;14/01/2021;;414;;
Metropolitana  Santiago;13106;14/01/2021;120;85;;
Metropolitana  Santiago;13108;14/01/2021;25;260;;
Metropolitana  Santiago;13110;14/01/2021;101;144;;
Metropolitana  Santiago;13113;14/01/2021;;190;;
Metropolitana  Santiago;13114;14/01/2021;337;91;;
Metropolitana  Santiago;13119;14/01/2021;;85;;
Metropolitana  Santiago;13120;14/01/2021;;5;;
Metropolitana  Santiago;13123;14/01/2021;489;432;;
Metropolitana  Santiago;13126;14/01/2021;;90;;
Metropolitana  Santiago;13127;14/01/2021;;135;;
Metropolitana  Santiago;13130;14/01/2021;;130;;
Metropolitana  Santiago;13131;14/01/2021;;50;;
Metropolitana  Santiago;13132;14/01/2021;155;189;;
Metropolitana  Santiago;13201;14/01/2021;;140;;
Metropolitana  Santiago;13401;14/01/2021;;135;;
Metropolitana  Santiago;13402;14/01/2021;25;;;
Metropolitana  Santiago;13601;14/01/2021;;80;;
" Valparaíso";5601;15/01/2021;30;;;
Bíobío;8101;15/01/2021;39;345;;
Bíobío;8110;15/01/2021;12;127;;
Bíobío;8111;15/01/2021;2;25;;
Bíobío;8205;15/01/2021;1;48;;
Bíobío;8301;15/01/2021;;1;;
" Magallanes y  La Antártica Chilena";12101;15/01/2021;;6;;
Metropolitana  Santiago;13101;15/01/2021;48;426;;
Metropolitana  Santiago;13106;15/01/2021;160;95;;
